onset	duration	condition	resp	respTime
8	4.066617	vis_Nabst_2	2	9.263648
12.083406	5.003295	tact_abst_8	2	15.126648
17.086809	6.096545	vis_abst_4	1	18.244648
23.20014	4.002562	tact_abst_6	2	26.551648
27.202811	6.097269	vis_Nabst_8	2	28.627648
33.317104	6.00369799999999	tact_abst_4	1	36.260648
39.320902	5.079251	vis_abst_8	2	40.960648
44.417283	4.00241900000001	tact_abst_2	1	48.105648
48.419804	5.080401	vis_Nabst_6	1	51.143648
53.500309	6.099932	vis_abst_2	2	55.279648
59.60034	5.08326300000001	vis_Nabst_4	1	62.454648
64.683702	4.06659599999999	vis_abst_6	2	66.101648
73.800507	6.00399400000001	tact_abst_4	1	76.594648
79.804601	4.06247500000001	vis_abst_6	2	80.899648
83.867178	5.083249	vis_Nabst_4	2	85.225648
88.967303	6.00369899999999	tact_abst_2	1	91.472648
94.971235	4.062584	vis_abst_8	2	96.176648
99.033917	5.08327499999999	vis_Nabst_2	1	101.061648
104.1341	6.003802	tact_abst_8	2	106.499648
110.138004	5.07925	vis_Nabst_6	2	112.342648
115.217353	4.06659900000002	vis_abst_4	1	116.832648
119.284052	5.083261	vis_Nabst_8	2	120.913648
124.384196	4.002204	tact_abst_6	1	127.115648
128.386498	6.097266	vis_abst_2	1	129.694648
139.51749	5.08299899999998	vis_abst_8	2	140.751648
144.600596	6.10021100000001	vis_Nabst_2	1	145.855648
150.700904	4.066592	vis_abst_6	1	152.131648
154.784374	5.00292600000001	tact_abst_8	2	157.914648
159.787403	4.063486	vis_Nabst_4	1	161.266648
163.867678	6.00362400000001	tact_abst_6	2	167.378648
169.871459	5.07949200000003	vis_abst_2	1	171.080648
174.951056	4.06659599999999	vis_Nabst_8	2	176.384648
179.034531	6.00376999999999	tact_abst_4	2	182.700648
185.038404	4.06236900000001	vis_Nabst_6	1	187.400648
189.100866	5.08354399999999	vis_abst_4	2	190.459648
194.201201	6.00369999999998	tact_abst_2	1	197.618648
205.234588	4.06658499999999	vis_abst_6	2	206.464648
209.30127	5.08326499999998	vis_Nabst_2	1	210.655648
214.40141	6.00379100000003	tact_abst_4	2	217.426648
220.405305	4.06262899999999	vis_Nabst_8	2	221.652648
224.468034	5.08326400000002	vis_abst_2	1	225.668648
229.568159	6.00384299999999	tact_abst_8	2	232.543648
235.572106	5.07925700000004	vis_Nabst_4	2	236.974648
240.668157	4.00254599999997	tact_abst_6	1	243.719648
244.670808	6.097288	vis_abst_4	2	246.698648
250.784971	5.00323100000003	tact_abst_2	1	253.553648
255.788305	6.09652100000001	vis_Nabst_6	2	258.098648
261.884925	4.06659600000002	vis_abst_8	1	263.008648
271.001971	4.00263	tact_abst_2	2	273.236648
275.004702	6.096908	vis_Nabst_4	2	276.933648
281.118394	5.00320800000004	tact_abst_6	1	284.646648
286.121712	4.063016	vis_abst_8	1	287.789648
290.184823	5.08355100000004	vis_Nabst_2	2	291.930648
295.28524	6.003761	tact_abst_8	2	298.426648
301.289102	4.06266999999998	vis_abst_4	1	302.518648
305.35187	5.08326199999999	vis_Nabst_6	1	307.018648
310.435231	6.09994	vis_abst_2	2	311.912648
316.552115	4.002087	tact_abst_4	1	320.035648
320.554299	6.09731299999997	vis_Nabst_8	2	322.864648
326.651714	5.08355200000002	vis_abst_6	1	328.187648
336.768721	6.09994800000003	vis_Nabst_2	2	338.251648
342.8856	5.00280100000004	tact_abst_6	1	346.578648
347.888506	4.06354800000001	vis_Nabst_8	1	350.130648
351.969221	5.00328100000002	tact_abst_2	2	354.635648
356.972604	6.09589299999998	vis_abst_8	2	358.028648
363.0686	4.06688	vis_Nabst_4	1	364.315648
367.135577	5.08298599999998	vis_abst_6	1	368.311648
372.235725	4.00247700000001	tact_abst_4	2	375.386648
376.238304	6.096995	vis_Nabst_6	1	378.504648
382.335398	5.08355099999998	vis_abst_2	2	383.583648
387.43569	4.00231199999998	tact_abst_8	1	391.332648
391.438096	6.09728200000001	vis_abst_4	2	392.494648
