onset	duration	condition	resp	respTime
8	6.099857	vis_Nabst_8	1	9.303892
14.099961	4.066586	vis_abst_6	2	15.700892
18.183405	6.00344	tact_abst_4	1	20.913892
24.186943	5.079659	vis_Nabst_2	1	25.927892
29.28349	4.002156	tact_abst_8	2	31.845892
33.28575	5.08091600000001	vis_abst_2	1	34.549892
38.366765	4.066582	vis_Nabst_4	2	39.718892
42.450162	5.00248299999999	tact_abst_6	2	45.326892
47.452742	6.097359	vis_abst_8	1	49.382892
53.566882	6.003764	tact_abst_2	2	56.996892
59.570742	5.07942	vis_abst_4	2	60.947892
64.650264	4.066594	vis_Nabst_6	1	65.872892
73.750316	4.06659300000001	vis_abst_2	1	74.997892
77.817006	6.099948	vis_Nabst_4	2	80.525892
83.933749	5.002696	tact_abst_6	2	88.458892
88.936547	5.080469	vis_abst_8	1	90.055892
94.034096	4.00224900000001	tact_abst_2	2	96.281892
98.036487	5.08059400000001	vis_Nabst_8	2	99.684892
103.134045	6.00350100000002	tact_abst_4	1	105.137892
109.137652	4.06281099999999	vis_Nabst_2	2	110.386892
113.20056	6.09965700000001	vis_abst_6	1	114.412892
119.317289	5.00275599999999	tact_abst_8	1	121.627892
124.320147	4.063745	vis_Nabst_6	2	126.007892
128.383993	6.09994200000001	vis_abst_4	2	129.714892
139.517388	5.08327599999998	vis_abst_2	1	140.855892
144.617568	4.00257699999999	tact_abst_6	1	148.444892
148.620246	5.08021300000002	vis_Nabst_4	1	153.034892
153.700561	6.100196	vis_abst_6	2	154.676892
159.817633	5.00211299999998	tact_abst_2	2	162.369892
164.819846	6.09764300000001	vis_abst_8	2	166.311892
170.917642	4.066543	vis_Nabst_8	0	0
175.000986	6.00275999999998	tact_abst_4	2	178.335892
181.003854	4.06372500000001	vis_Nabst_6	1	182.536892
185.084418	5.002927	tact_abst_8	2	187.430892
190.08745	6.09686300000001	vis_Nabst_2	1	191.416892
196.184417	4.066587	vis_abst_4	2	197.304892
205.284463	6.099663	vis_abst_2	1	206.609892
211.401201	5.00294499999998	tact_abst_8	1	215.560892
216.404248	4.063307	vis_Nabst_2	2	217.944892
220.484668	6.00367599999998	tact_abst_6	2	223.063892
226.488444	5.07941699999999	vis_abst_4	2	227.489892
231.56796	6.09965999999997	vis_Nabst_6	1	233.321892
237.667721	5.08354499999998	vis_abst_8	2	239.249892
242.768147	6.00370000000001	tact_abst_2	1	245.405892
248.772033	4.06262900000002	vis_Nabst_4	2	250.170892
252.83482	4.06629800000001	vis_abst_6	1	254.246892
256.901219	5.08349400000001	vis_Nabst_8	1	259.066892
262.001509	4.00203599999996	tact_abst_4	2	264.519892
271.034912	4.06655699999997	vis_abst_2	2	272.457892
275.101568	5.08327000000002	vis_Nabst_8	1	276.219892
280.20164	6.00320399999997	tact_abst_2	1	282.805892
286.204953	6.096625	vis_Nabst_4	2	287.555892
292.301679	5.08325699999998	vis_abst_6	2	293.592892
297.401737	4.00250700000004	tact_abst_8	1	299.679892
301.404347	6.09703599999996	vis_Nabst_6	0	0
307.518535	4.00211100000003	tact_abst_4	2	310.106892
311.520744	6.09741899999999	vis_abst_8	2	312.935892
317.635274	5.00297200000001	tact_abst_6	1	320.908892
322.638349	4.06320299999998	vis_Nabst_2	1	323.941892
326.701657	5.08318299999996	vis_abst_4	2	330.263892
336.818613	4.066321	vis_Nabst_6	1	338.889892
340.902084	6.00356100000004	tact_abst_4	1	344.527892
346.905743	5.07929399999999	vis_abst_2	2	348.015892
351.985135	4.06683199999999	vis_Nabst_4	2	353.613892
356.068859	6.003087	tact_abst_8	1	359.121892
362.072042	4.06332999999996	vis_abst_6	2	363.806892
366.135476	6.09993100000004	vis_Nabst_2	2	367.677892
372.235508	5.08325900000002	vis_abst_8	1	373.330892
377.335623	4.001821	tact_abst_6	1	380.724892
381.337544	5.08128399999999	vis_Nabst_8	1	384.067892
386.418927	6.09994	vis_abst_4	2	387.490892
392.535739	5.00300699999998	tact_abst_2	1	395.952892
