Run	Condition	Onset	Duration	Resp	RespTime
4	vis_Nabst_8	8	6.09995	1	9.167753
4	vis_abst_6	14.100068	4.066576	1	15.279753
4	tact_abst_4	18.183506	6.004099	2	19.684753
4	vis_Nabst_2	24.187707	5.07899000000001	2	25.377753
4	tact_abst_8	29.283517	4.00248899999999	1	31.389753
4	vis_abst_2	33.2861	5.080641	2	34.532753
4	vis_Nabst_4	38.36684	4.06658	2	39.706753
4	tact_abst_6	42.450294	5.00281300000001	1	44.177753
4	vis_abst_8	47.453204	6.09694	1	48.587753
4	tact_abst_2	53.567064	6.003842	2	54.949753
4	vis_abst_4	59.571002	5.07919600000001	2	60.941753
4	vis_Nabst_6	64.650296	4.06658799999999	1	65.790753
4	vis_abst_2	73.750331	4.066602	2	74.956753
4	vis_Nabst_4	77.817027	6.09994	2	79.261753
4	tact_abst_6	83.933828	5.002977	1	85.977753
4	vis_abst_8	88.93691	5.08009599999999	1	90.053753
4	tact_abst_2	94.033871	4.00243399999999	2	95.187753
4	vis_Nabst_8	98.036403	5.08064600000001	1	99.173753
4	tact_abst_4	103.133922	6.00388400000002	2	104.662753
4	vis_Nabst_2	109.137905	4.06252799999999	2	110.394753
4	vis_abst_6	113.200528	6.09993900000001	1	114.391753
4	tact_abst_8	119.31733	5.00297600000002	1	121.231753
4	vis_Nabst_6	124.32041	4.06343700000001	1	125.342753
4	vis_abst_4	128.383941	6.099927	2	129.628753
4	vis_abst_2	139.517323	5.08326799999998	2	140.699753
4	tact_abst_6	144.617364	4.00244200000001	1	147.060753
4	vis_Nabst_4	148.619912	5.08071599999999	2	149.914753
4	vis_abst_6	153.700725	6.099935	1	155.008753
4	tact_abst_2	159.81753	5.00297699999998	2	161.444753
4	vis_abst_8	164.820604	6.09678	1	165.995753
4	vis_Nabst_8	170.917545	4.066519	1	171.882753
4	tact_abst_4	175.000933	6.003875	2	177.620753
4	vis_Nabst_6	181.004921	4.062533	1	182.255753
4	tact_abst_8	185.084314	5.00299300000002	1	187.508753
4	vis_Nabst_2	190.087405	6.096761	2	191.230753
4	vis_abst_4	196.184261	4.066601	1	197.227753
4	vis_abst_2	205.284305	6.09993799999999	2	206.652753
4	tact_abst_8	211.401107	5.00310000000001	1	212.939753
4	vis_Nabst_2	216.404305	4.06331599999999	2	217.414753
4	tact_abst_6	220.484488	6.00371800000002	1	222.029753
4	vis_abst_4	226.488302	5.07937100000001	2	227.532753
4	vis_Nabst_6	231.56777	6.099935	1	232.611753
4	vis_abst_8	237.667803	5.083266	1	238.873753
4	tact_abst_2	242.767929	6.00347700000001	2	243.997753
4	vis_Nabst_4	248.771525	4.06292599999998	2	249.924753
4	vis_abst_6	252.834552	4.06657799999998	1	253.866753
4	vis_Nabst_8	256.901223	5.08327800000005	1	257.817753
4	tact_abst_4	262.001344	4.00216099999996	2	264.398753
4	vis_abst_2	271.034645	4.06657699999999	2	272.286753
4	vis_Nabst_8	275.10132	5.083255	1	276.173753
4	tact_abst_2	280.20149	6.00361699999997	2	281.970753
4	vis_Nabst_4	286.205206	6.09610500000004	2	287.378753
4	vis_abst_6	292.301409	5.08325099999999	1	293.500753
4	tact_abst_8	297.401499	4.00220699999999	1	298.894753
4	vis_Nabst_6	301.403811	6.09756399999995	2	302.750753
4	tact_abst_4	307.518155	4.00215000000002	2	309.206753
4	vis_abst_8	311.5204	6.09769799999997	1	312.614753
4	tact_abst_6	317.634943	5.00276400000002	1	320.033753
4	vis_Nabst_2	322.637809	4.06366399999999	2	323.755753
4	vis_abst_4	326.701567	5.08326999999996	2	328.151753
4	vis_Nabst_6	336.818282	4.06659700000001	1	338.733753
4	tact_abst_4	340.901722	6.003685	2	342.490753
4	vis_abst_2	346.905501	5.07942999999999	2	348.088753
4	vis_Nabst_4	351.985029	4.066582	2	353.341753
4	tact_abst_8	356.068527	6.00397900000005	1	358.246753
4	vis_abst_6	362.072604	4.062391	1	363.300753
4	vis_Nabst_2	366.13509	6.09993099999998	2	367.466753
4	vis_abst_8	372.235118	5.08327899999998	1	373.543753
4	tact_abst_6	377.335171	4.00243599999999	1	379.405753
4	vis_Nabst_8	381.337706	5.08072500000003	1	382.344753
4	vis_abst_4	386.41853	6.09993199999997	2	387.573753
4	tact_abst_2	392.53533	5.00317700000002	2	394.104753
