onset	duration	condition	resp	respTime
8	4.066636	vis_abst_4	1	9.461717
12.066742	5.083246	vis_Nabst_2	0	0
17.166841	5.002729	tact_abst_4	2	18.646717
22.169669	4.063711	vis_Nabst_6	2	23.186717
26.233481	6.09993599999999	vis_abst_8	1	27.158717
32.350267	6.00320199999999	tact_abst_6	1	33.594717
38.35357	4.063228	vis_Nabst_8	0	0
42.433616	5.00255399999999	tact_abst_2	1	44.016717
47.436276	6.09725300000001	vis_abst_6	1	48.547717
53.550407	6.00356299999999	tact_abst_8	2	54.928717
59.554068	4.06285400000001	vis_abst_2	1	60.511717
63.617022	5.08326700000001	vis_Nabst_4	1	65.440717
73.750516	4.00205500000001	tact_abst_6	0	0
77.752695	6.097685	vis_Nabst_2	2	78.083717
83.850485	5.083251	vis_abst_4	1	84.953717
88.950512	6.003859	tact_abst_8	2	90.267717
94.954582	5.07921999999999	vis_abst_6	2	96.089717
100.033911	6.09968600000002	vis_Nabst_8	1	100.819717
106.15071	4.00216	tact_abst_4	1	108.288717
110.152966	6.09759599999999	vis_abst_8	1	111.047717
116.250683	4.06656600000002	vis_Nabst_4	2	117.044717
120.317353	5.08324799999999	vis_abst_2	1	121.081717
125.4007	4.06635399999999	vis_Nabst_6	2	126.379717
129.484413	5.00255799999999	tact_abst_2	2	131.813717
139.534416	4.00215400000001	tact_abst_2	1	140.743717
143.536668	6.097166	vis_abst_4	2	147.524717
149.650953	6.00381899999999	tact_abst_8	0	0
155.654885	5.079253	vis_Nabst_4	2	155.781717
160.73424	4.06659000000003	vis_abst_6	1	161.604717
164.800933	5.083255	vis_Nabst_8	2	165.540717
169.901063	5.003106	tact_abst_6	1	171.836717
174.904267	6.09665700000001	vis_abst_8	1	175.663717
181.001029	4.066584	vis_Nabst_2	1	181.850717
185.067717	4.06634899999999	vis_Nabst_6	1	185.811717
189.151248	5.00292300000001	tact_abst_4	2	190.626717
194.154266	6.09653599999999	vis_abst_2	1	195.815717
205.284485	6.09994	vis_abst_8	2	207.480717
211.401289	5.00308200000002	tact_abst_2	2	213.133717
216.404481	4.063033	vis_Nabst_4	1	217.778717
220.467643	5.08353	vis_abst_6	2	223.540717
225.568048	6.00342300000001	tact_abst_8	2	228.969717
231.571566	5.07967300000001	vis_abst_2	1	232.686717
236.651347	4.06659100000001	vis_Nabst_8	1	237.525717
240.734673	4.00219900000002	tact_abst_6	2	243.178717
244.736977	6.09767099999997	vis_abst_4	1	245.782717
250.834806	5.08320500000002	vis_Nabst_2	1	252.698717
255.934884	4.00218599999999	tact_abst_4	2	257.123717
259.937167	6.09757899999997	vis_Nabst_6	2	261.015717
271.068196	5.08326400000002	vis_Nabst_2	2	271.886717
276.151557	6.09994899999996	vis_abst_6	1	277.225717
282.268283	5.002788	tact_abst_2	0	0
287.271161	4.06371599999996	vis_Nabst_8	2	288.989717
291.334969	4.066609	vis_abst_4	1	292.143717
295.401669	5.083272	vis_abst_2	1	296.344717
300.5018	5.00317000000004	tact_abst_4	2	301.827717
305.505085	4.06324199999997	vis_Nabst_6	2	306.392717
309.585196	6.00307400000002	tact_abst_8	2	310.588717
315.58837	4.063065	vis_Nabst_4	1	316.391717
319.651532	6.10022100000002	vis_abst_8	1	321.599717
325.768617	6.003353	tact_abst_6	2	326.863717
336.801918	5.08325400000002	vis_Nabst_6	1	338.004717
341.902039	5.00253200000001	tact_abst_2	1	344.276717
346.904666	6.09723599999998	vis_abst_4	1	347.848717
353.002003	4.06626499999996	vis_abst_2	2	353.985717
357.068369	5.08358399999997	vis_Nabst_8	2	357.866717
362.168738	4.00203200000001	tact_abst_6	2	363.554717
366.170875	6.09756	vis_Nabst_4	1	368.144717
372.285534	4.00213500000001	tact_abst_8	1	374.201717
376.287764	6.09764600000001	vis_abst_6	2	377.130717
382.402272	5.002598	tact_abst_4	1	383.835717
387.40497	4.06381799999997	vis_Nabst_2	1	388.386717
391.468887	6.09993600000004	vis_abst_8	2	393.300717
