onset	duration	trial_type	resp	respTime
8	5.00290000000001	tact_abst_6	1	11.280448
13.003009	4.063503	vis_Nabst_2	2	15.376448
17.066607	6.09993799999999	vis_abst_6	1	18.020448
23.166645	5.083261	vis_Nabst_4	2	25.205448
28.2667	4.002201	tact_abst_2	1	30.733448
32.269008	6.09760400000001	vis_abst_8	1	33.447448
38.36671	6.099935	vis_abst_2	2	39.279448
44.483443	5.00276000000001	tact_abst_8	0	0
49.486294	6.097071	vis_Nabst_6	2	49.512448
55.600155	4.00204700000001	tact_abst_4	2	57.525448
59.602298	5.08111499999999	vis_Nabst_8	1	61.083448
64.68351	4.066591	vis_abst_4	2	65.633448
73.783545	4.06660499999998	vis_abst_2	2	75.092448
77.850246	5.083264	vis_Nabst_8	1	78.874448
82.950369	4.00233199999999	tact_abst_6	1	85.425448
86.952801	6.097424	vis_abst_4	2	87.885448
93.050442	5.083133	vis_Nabst_6	1	95.593448
98.150366	4.00183599999998	tact_abst_2	2	99.994448
102.152295	6.098003	vis_abst_8	1	102.987448
108.267162	5.002639	tact_abst_4	0	0
113.269889	6.097125	vis_Nabst_2	2	115.356448
119.383806	4.00209599999999	tact_abst_8	1	122.465448
123.385995	6.097742	vis_abst_6	1	124.651448
129.483836	5.083261	vis_Nabst_4	2	130.573448
139.600551	6.099927	vis_Nabst_8	1	142.487448
145.717349	4.00235299999997	tact_abst_6	0	0
149.719788	5.08074799999999	vis_abst_4	2	150.655448
154.800638	4.06657999999999	vis_abst_2	2	155.789448
158.867314	6.09993299999999	vis_Nabst_6	1	160.159448
164.984117	5.002283	tact_abst_2	1	167.094448
169.986557	6.097413	vis_abst_6	1	171.151448
176.084068	4.06658900000001	vis_abst_8	0	0
180.167524	5.00257699999999	tact_abst_4	0	0
185.170197	6.09718399999998	vis_Nabst_2	2	186.597448
191.284161	4.002041	tact_abst_8	1	192.814448
195.286308	5.08111200000002	vis_Nabst_4	0	0
205.400874	5.08326400000002	vis_Nabst_2	2	206.380448
210.484234	6.09993099999998	vis_abst_6	1	211.713448
216.584264	5.083261	vis_Nabst_8	1	217.311448
221.684304	4.00199799999996	tact_abst_6	1	223.927448
225.6864	6.09786100000003	vis_abst_2	2	226.931448
231.784356	4.06657799999998	vis_abst_4	2	233.906448
235.867791	5.00281099999999	tact_abst_8	2	238.685448
240.8707	6.09694500000001	vis_Nabst_6	1	244.683448
246.984522	4.00177899999998	tact_abst_2	2	248.130448
250.986419	5.08127599999995	vis_Nabst_4	0	0
256.067784	6.09994699999999	vis_abst_8	1	256.692448
262.184585	4.00231599999999	tact_abst_4	2	263.752448
271.217873	4.06659100000001	vis_abst_6	1	271.934448
275.284565	6.09992699999997	vis_Nabst_2	2	276.220448
281.401271	5.00243000000005	tact_abst_6	1	282.935448
286.403799	4.06406299999997	vis_Nabst_4	0	0
290.484641	6.002859	tact_abst_2	0	0
296.487592	5.08032400000002	vis_Nabst_8	1	297.594448
301.568011	4.06660399999999	vis_abst_2	2	302.284448
305.634711	6.099946	vis_abst_4	2	306.624448
311.751498	4.00220300000004	tact_abst_8	1	314.093448
315.753801	5.08087800000003	vis_Nabst_6	0	0
320.851552	6.003049	tact_abst_4	2	322.650448
326.854707	5.08003099999996	vis_abst_8	1	327.614448
336.984969	6.00323300000001	tact_abst_2	2	339.319448
342.988302	4.06317700000003	vis_abst_6	1	345.745448
347.051577	5.08325899999996	vis_Nabst_8	1	347.970448
352.134928	5.083266	vis_abst_4	0	0
357.235058	4.00224300000002	tact_abst_6	1	359.401448
361.237393	6.097516	vis_abst_2	2	362.090448
367.335014	5.08325800000003	vis_Nabst_4	2	368.950448
372.435145	4.00215700000001	tact_abst_8	1	373.860448
376.437465	6.097527	vis_Nabst_6	1	379.453448
382.53509	5.08325400000002	vis_abst_8	0	0
387.635217	6.00348500000004	tact_abst_4	2	392.015448
393.638799	4.062924	vis_Nabst_2	2	394.795448
