Run	Condition	Onset	Duration	Resp	RespTime
8	vis_abst_8	8	5.08325999999999	1	10.437344
8	tact_abst_2	13.100123	6.00377499999999	2	16.040344
8	vis_Nabst_8	19.104	4.062658	1	20.950344
8	vis_abst_4	23.166757	5.08327	2	24.946344
8	vis_Nabst_2	28.250131	4.066578	1	29.801344
8	tact_abst_6	32.33357	5.002628	2	35.898344
8	vis_Nabst_4	37.336296	4.063812	1	38.537344
8	vis_abst_2	41.400206	6.09993000000001	2	42.494344
8	tact_abst_8	47.516918	4.00208100000001	2	50.646344
8	vis_abst_6	51.519097	6.09778200000001	1	53.380344
8	tact_abst_4	57.633829	5.00236900000001	2	59.781344
8	vis_Nabst_6	62.636298	6.09730500000001	2	64.187344
8	vis_abst_2	73.767067	6.09994100000001	1	75.198344
8	vis_Nabst_6	79.867113	4.066587	1	81.569344
8	tact_abst_4	83.950572	5.00292599999999	2	86.713344
8	vis_Nabst_8	88.953601	6.096845	1	91.448344
8	tact_abst_2	95.067331	4.00246800000001	2	97.844344
8	vis_abst_8	99.069897	5.08059199999999	1	100.544344
8	vis_Nabst_4	104.150591	4.066587	2	106.351344
8	tact_abst_8	108.234035	6.00286200000002	1	111.495344
8	vis_abst_6	114.236999	5.080258	2	116.110344
8	vis_Nabst_2	119.317354	4.066587	1	120.576344
8	tact_abst_6	123.400844	5.00295499999999	2	125.111344
8	vis_abst_4	128.403897	6.096783	1	129.606344
8	vis_Nabst_2	139.534135	6.099679	1	140.722344
8	tact_abst_6	145.650825	5.00257200000001	2	148.191344
8	vis_abst_2	150.6535	4.06398000000001	1	152.233344
8	tact_abst_8	154.734262	6.00333499999999	2	157.845344
8	vis_Nabst_4	160.737699	5.07983899999998	2	162.450344
8	vis_abst_8	165.817636	6.099943	1	167.130344
8	tact_abst_4	171.934455	4.00234399999998	2	175.667344
8	vis_Nabst_6	175.936904	6.09740700000001	1	178.316344
8	vis_abst_4	182.03441	5.08327000000002	2	183.136344
8	vis_Nabst_8	187.117781	4.06658499999999	1	188.599344
8	vis_abst_6	191.184462	5.08303900000002	2	192.421344
8	tact_abst_2	196.284514	4.00218299999999	1	199.635344
8	vis_abst_4	205.317967	5.08319	2	207.050344
8	tact_abst_6	210.418103	4.00239500000002	1	212.997344
8	vis_Nabst_2	214.420605	6.097274	1	215.666344
8	vis_abst_8	220.517977	4.06660000000001	2	221.409344
8	vis_Nabst_4	224.584672	6.09994499999998	1	226.248344
8	tact_abst_2	230.701549	5.00244700000001	2	234.111344
8	vis_Nabst_6	235.7041	6.09725300000003	1	237.404344
8	tact_abst_4	241.818131	4.00206699999998	1	245.597344
8	vis_abst_6	245.820299	5.08111099999998	2	247.058344
8	tact_abst_8	250.918185	6.00261300000001	2	255.271344
8	vis_abst_2	256.920894	5.08058000000002	1	258.289344
8	vis_Nabst_8	262.001577	4.06660499999998	2	263.922344
8	tact_abst_8	271.118334	5.00296400000004	1	275.627344
8	vis_Nabst_4	276.121408	4.06351299999998	2	277.832344
8	vis_abst_6	280.185018	6.09993800000002	1	281.350344
8	vis_Nabst_2	286.285058	4.06658900000004	1	287.541344
8	tact_abst_6	290.368432	5.00276500000001	2	293.379344
8	vis_abst_4	295.371296	6.09709299999999	1	296.652344
8	tact_abst_2	301.485232	4.00196500000003	1	304.116344
8	vis_Nabst_8	305.487295	5.08114199999999	2	306.790344
8	vis_abst_2	310.568535	6.09994199999998	1	312.139344
8	vis_Nabst_6	316.668576	4.06659399999998	2	318.535344
8	tact_abst_4	320.752148	5.00295000000001	2	324.228344
8	vis_abst_8	325.755195	6.09670699999999	1	327.805344
8	vis_Nabst_4	336.885506	4.06645399999997	1	338.362344
8	tact_abst_6	340.96887	5.00242599999998	2	344.434344
8	vis_abst_8	345.971394	6.09730700000003	1	347.273344
8	tact_abst_2	352.08561	4.00218800000002	1	354.338344
8	vis_Nabst_6	356.087894	5.08057900000003	2	357.621344
8	vis_abst_2	361.168574	4.06686800000002	1	362.575344
8	tact_abst_8	365.252291	6.00310700000002	1	368.622344
8	vis_abst_4	371.2555	4.06334099999996	2	372.773344
8	vis_Nabst_8	375.318938	5.08326800000004	1	377.144344
8	tact_abst_4	380.419066	6.00323099999997	2	384.468344
8	vis_abst_6	386.422397	5.079886	1	387.526344
8	vis_Nabst_2	391.50239	6.09992200000002	2	393.114344
