onset	duration	trial_type	resp	respTime
8	4.066624	vis_abst_4	1	9.541342
12.066731	5.083257	vis_Nabst_2	2	13.518342
17.166832	5.002564	tact_abst_4	2	21.016342
22.169497	4.063881	vis_Nabst_6	1	24.145342
26.233479	6.099942	vis_abst_8	2	27.512342
32.350206	6.003289	tact_abst_6	2	36.084342
38.353598	4.063217	vis_Nabst_8	2	40.529342
42.433673	5.002322	tact_abst_2	0	0
47.436087	6.09746000000001	vis_abst_6	1	48.602342
53.55057	6.00292599999999	tact_abst_8	0	0
59.553587	4.063356	vis_abst_2	1	61.240342
63.617049	5.08326300000001	vis_Nabst_4	2	64.857342
73.750556	4.00233799999999	tact_abst_6	0	0
77.752984	6.09742199999999	vis_Nabst_2	1	79.196342
83.850509	5.083261	vis_abst_4	0	0
88.950634	6.00316	tact_abst_8	1	88.985342
94.95401	5.07984	vis_abst_6	2	96.195342
100.033961	6.09992799999999	vis_Nabst_8	2	101.877342
106.150765	4.00232999999999	tact_abst_4	0	0
110.153182	6.097193	vis_abst_8	2	115.209342
116.250475	4.066543	vis_Nabst_4	1	118.392342
120.317112	5.08354200000002	vis_abst_2	1	121.665342
125.400755	4.06632699999999	vis_Nabst_6	1	127.787342
129.484246	5.00294899999999	tact_abst_2	0	0
139.53429	4.00190599999999	tact_abst_2	0	0
143.536281	6.09763099999999	vis_abst_4	1	145.264342
149.651012	6.003783	tact_abst_8	0	0
155.654895	5.079321	vis_Nabst_4	2	157.737342
160.734318	4.066595	vis_abst_6	2	161.893342
164.80102	5.08325	vis_Nabst_8	1	166.099342
169.901056	5.00273999999999	tact_abst_6	2	170.315342
174.903897	6.09713099999999	vis_abst_8	2	180.119342
181.001139	4.066326	vis_Nabst_2	1	182.579342
185.067567	4.06682199999999	vis_Nabst_6	1	186.436342
189.151273	5.00292199999999	tact_abst_4	0	0
194.15429	6.096826	vis_abst_2	1	195.631342
205.284584	6.09994200000001	vis_abst_8	2	206.877342
211.401314	5.00278199999998	tact_abst_2	1	213.288342
216.404199	4.06372400000002	vis_Nabst_4	2	218.502342
220.468033	5.082973	vis_abst_6	2	221.725342
225.568181	6.00391500000001	tact_abst_8	1	228.580342
231.572205	5.07914299999998	vis_abst_2	2	233.519342
236.651462	4.06658400000003	vis_Nabst_8	2	239.422342
240.735041	4.00195499999996	tact_abst_6	1	243.373342
244.737092	6.097685	vis_abst_4	1	246.242342
250.834942	5.08318900000001	vis_Nabst_2	2	253.197342
255.934971	4.00232500000001	tact_abst_4	1	259.074342
259.937399	6.097228	vis_Nabst_6	1	262.058342
271.068325	5.08326299999998	vis_Nabst_2	2	273.448342
276.151687	6.09995300000004	vis_abst_6	2	277.180342
282.268386	5.00270900000003	tact_abst_2	2	284.899342
287.271198	4.06381599999999	vis_Nabst_8	1	289.025342
291.335111	4.06659700000001	vis_abst_4	2	292.802342
295.401803	5.083277	vis_abst_2	1	296.723342
300.501867	5.00262699999998	tact_abst_4	0	0
305.504587	4.06361200000002	vis_Nabst_6	2	305.694342
309.585337	6.003158	tact_abst_8	2	313.348342
315.588599	4.06303400000004	vis_Nabst_4	2	317.554342
319.651731	6.10016899999999	vis_abst_8	2	320.846342
325.76894	6.00335499999998	tact_abst_6	1	328.181342
336.802076	5.08326500000001	vis_Nabst_6	1	338.573342
341.902122	5.003174	tact_abst_2	2	343.982342
346.905395	6.09639299999998	vis_abst_4	1	348.442342
353.001886	4.06687699999998	vis_abst_2	1	354.215342
357.06886	5.08327000000002	vis_Nabst_8	1	358.750342
362.169	4.00229499999998	tact_abst_6	2	365.530342
366.171392	6.09722500000003	vis_Nabst_4	2	367.551342
372.285637	4.00195900000003	tact_abst_8	2	374.396342
376.28769	6.09766600000003	vis_abst_6	1	378.547342
382.402498	5.00199799999996	tact_abst_4	1	384.844342
387.404597	4.06437199999997	vis_Nabst_2	2	389.619342
391.469066	6.09994300000003	vis_abst_8	1	393.306342
