onset	duration	condition	resp	respTime
8	4.066606	vis_Nabst_2	2	9.001408
12.083484	5.003377	tact_abst_8	1	15.013408
17.086957	6.096365	vis_abst_4	2	17.837408
23.200188	4.002672	tact_abst_6	1	25.680408
27.202961	6.097065	vis_Nabst_8	1	27.970408
33.316897	6.003864	tact_abst_4	1	34.412408
39.320866	5.079194	vis_abst_8	1	40.004408
44.416929	4.00243100000001	tact_abst_2	2	45.782408
48.41946	5.080645	vis_Nabst_6	1	49.574408
53.5002	6.09992999999999	vis_abst_2	2	54.304408
59.600236	5.08325200000001	vis_Nabst_4	2	61.239408
64.683587	4.066579	vis_abst_6	1	65.530408
73.800376	6.00348400000001	tact_abst_4	2	76.691408
79.803982	4.062914	vis_abst_6	1	81.785408
83.866994	5.08325600000001	vis_Nabst_4	2	84.758408
88.967125	6.00393599999999	tact_abst_2	0	0
94.971272	4.062353	vis_abst_8	1	96.807408
99.033724	5.08324400000001	vis_Nabst_2	2	100.135408
104.133812	6.003649	tact_abst_8	2	110.124408
110.137592	5.07942499999999	vis_Nabst_6	1	110.937408
115.217114	4.06659399999998	vis_abst_4	2	116.101408
119.283812	5.08323699999999	vis_Nabst_8	1	120.197408
124.383923	4.00243699999998	tact_abst_6	1	126.942408
128.386461	6.09729999999999	vis_abst_2	2	129.347408
139.517204	5.083269	vis_abst_8	1	140.543408
144.600629	6.099864	vis_Nabst_2	2	145.423408
150.700595	4.06657699999999	vis_abst_6	1	151.774408
154.784024	5.00293700000001	tact_abst_8	1	158.739408
159.787059	4.06348499999999	vis_Nabst_4	2	160.585408
163.867403	6.00356	tact_abst_6	1	167.710408
169.871115	5.079478	vis_abst_2	2	170.593408
174.950697	4.06658100000001	vis_Nabst_8	1	175.952408
179.034154	6.004307	tact_abst_4	1	184.758408
185.038561	4.06209400000001	vis_Nabst_6	1	185.821408
189.100752	5.08325	vis_abst_4	2	189.987408
194.200868	6.00379200000002	tact_abst_2	2	196.253408
205.234149	4.06658099999998	vis_abst_6	1	206.262408
209.300825	5.08325900000002	vis_Nabst_2	2	210.123408
214.400955	6.00390700000001	tact_abst_4	1	217.487408
220.404962	4.062489	vis_Nabst_8	1	221.324408
224.467544	5.08326699999999	vis_abst_2	2	225.256408
229.56768	6.00368099999998	tact_abst_8	1	231.926408
235.571462	5.079391	vis_Nabst_4	2	236.601408
240.667811	4.00255100000004	tact_abst_6	0	0
244.670447	6.09711999999999	vis_abst_4	1	245.338408
250.784432	5.00312900000002	tact_abst_2	2	252.801408
255.787662	6.096609	vis_Nabst_6	1	256.693408
261.884373	4.066582	vis_abst_8	1	262.690408
271.001149	4.00241100000002	tact_abst_2	2	273.217408
275.003658	6.09736200000002	vis_Nabst_4	1	275.817408
281.117885	5.003076	tact_abst_6	1	283.530408
286.121059	4.06333000000002	vis_abst_8	1	286.908408
290.184483	5.08325799999997	vis_Nabst_2	2	294.177408
295.28462	6.00384100000001	tact_abst_8	1	298.353408
301.288562	4.06255300000001	vis_abst_4	2	302.185408
305.35121	5.083266	vis_Nabst_6	1	307.239408
310.434571	6.09992800000001	vis_abst_2	2	311.256408
316.55136	4.00240100000001	tact_abst_4	1	320.236408
320.553859	6.09733600000001	vis_Nabst_8	1	324.342408
326.651291	5.08326300000004	vis_abst_6	1	327.600408
336.767998	6.09994099999999	vis_Nabst_2	2	337.694408
342.884716	5.00284499999997	tact_abst_6	1	344.599408
347.887714	4.06359299999999	vis_Nabst_8	0	0
351.968163	5.00339799999999	tact_abst_2	1	355.790408
356.971658	6.09635600000003	vis_abst_8	1	357.716408
363.068112	4.06658399999997	vis_Nabst_4	2	364.102408
367.134798	5.08325599999999	vis_abst_6	1	368.298408
372.234904	4.00275599999999	tact_abst_4	2	374.060408
376.237758	6.09699600000004	vis_Nabst_6	1	377.079408
382.334847	5.08325899999996	vis_abst_2	2	383.291408
387.434976	4.00248499999999	tact_abst_8	1	390.839408
391.437556	6.09726400000002	vis_abst_4	2	392.276408
