onset	duration	trial_type	resp	respTime
8	4.066629	vis_Nabst_6	2	10.560956
12.066731	5.08326	vis_abst_2	2	13.015956
17.166823	6.003488	tact_abst_8	1	20.589956
23.17044	4.062943	vis_Nabst_2	2	24.251956
27.233481	4.066591	vis_abst_8	1	28.327956
31.316962	6.00364700000001	tact_abst_6	2	35.507956
37.320715	6.096091	vis_abst_4	1	38.286956
43.433582	5.00232799999999	tact_abst_2	1	46.673956
48.436008	6.09752800000001	vis_Nabst_4	2	50.589956
54.533639	5.083257	vis_abst_6	2	56.542956
59.616997	4.066594	vis_Nabst_8	2	60.822956
63.700344	5.00276599999999	tact_abst_4	1	65.971956
73.750521	4.002489	tact_abst_6	0	0
77.753107	6.097266	vis_abst_8	1	78.370956
83.850479	5.083251	vis_Nabst_2	1	84.801956
88.933827	4.06660299999997	vis_abst_6	1	89.970956
93.017214	6.00299599999998	tact_abst_4	2	98.481956
99.020307	5.08018300000002	vis_abst_2	1	100.512956
104.100587	6.09994200000001	vis_Nabst_4	2	105.945956
110.217704	4.00220699999999	tact_abst_8	2	112.746956
114.220017	5.08056700000001	vis_Nabst_6	2	116.153956
119.300682	5.083261	vis_abst_4	1	120.274956
124.400805	4.00250400000002	tact_abst_2	1	127.648956
128.403442	6.097003	vis_Nabst_8	2	129.849956
139.534122	6.099943	vis_abst_4	2	141.898956
145.634163	6.09966099999999	vis_Nabst_6	1	147.561956
151.733924	5.08354300000001	vis_abst_8	2	154.810956
156.834345	6.00326500000001	tact_abst_6	1	159.171956
162.837711	4.063149	vis_Nabst_4	1	164.320956
166.917728	4.00238	tact_abst_2	0	0
170.920259	6.09731699999998	vis_Nabst_8	1	171.355956
177.017675	4.06659999999998	vis_abst_6	2	178.913956
181.084371	5.08326999999999	vis_Nabst_2	1	182.780956
186.184496	4.00181399999998	tact_abst_4	1	190.059956
190.186413	5.08127300000002	vis_abst_2	2	191.491956
195.284557	5.00265299999999	tact_abst_8	2	198.217956
205.317857	6.09992899999997	vis_Nabst_2	2	206.225956
211.417888	4.066579	vis_abst_8	1	212.471956
215.501249	4.00206	tact_abst_6	2	218.383956
219.503404	5.08081700000004	vis_abst_4	1	220.524956
224.584321	6.09991100000002	vis_Nabst_8	1	225.583956
230.701431	4.002277	tact_abst_2	1	234.189956
234.70381	5.08080599999998	vis_abst_6	1	236.065956
239.801571	6.00363800000004	tact_abst_4	2	242.322956
245.80531	5.07937400000001	vis_Nabst_6	1	247.660956
250.901553	4.00205599999998	tact_abst_8	2	254.700956
254.903712	5.08102799999999	vis_Nabst_4	1	256.047956
259.984845	6.09992499999999	vis_abst_2	1	261.002956
271.118219	6.09966700000002	vis_abst_8	2	273.186956
277.217983	4.06687900000002	vis_Nabst_2	2	279.203956
281.301634	4.00247399999999	tact_abst_8	1	284.811956
285.304208	5.08039600000001	vis_abst_6	2	286.771956
290.384715	5.083549	vis_Nabst_4	1	292.778956
295.468362	5.08300899999996	vis_abst_2	1	297.872956
300.568409	4.00230000000005	tact_abst_4	0	0
304.570803	6.09728499999997	vis_Nabst_8	2	304.992956
310.685308	4.002201	tact_abst_6	2	313.614956
314.687615	6.09717800000001	vis_abst_4	1	315.719956
320.801961	6.00344799999997	tact_abst_2	1	323.048956
326.805519	5.07933799999999	vis_Nabst_6	2	329.435956
336.935534	6.003576	tact_abst_4	2	340.107956
342.939221	5.07934700000001	vis_Nabst_2	1	346.373956
348.018669	4.06659700000001	vis_abst_4	2	348.873956
352.102265	6.003543	tact_abst_8	2	355.339956
358.118843	5.00266600000003	tact_abst_6	0	0
363.12161	4.06347600000002	vis_Nabst_8	2	363.242956
367.202457	5.00275300000003	tact_abst_2	1	370.656956
372.205313	6.09677399999998	vis_Nabst_4	1	373.495956
378.302189	5.08301799999998	vis_abst_8	2	379.417956
383.38531	4.06683199999999	vis_abst_4	2	384.441956
387.45224	4.066348	vis_abst_2	1	389.381956
391.518692	6.10016800000001	vis_Nabst_6	2	393.063956
