onset	duration	trial_type	resp	respTime
8	6.099972	vis_Nabst_8	2	9.334994
14.100071	4.066591	vis_abst_6	1	14.987994
18.183521	6.00342599999999	tact_abst_4	1	20.076994
24.187053	5.079671	vis_Nabst_2	1	24.965994
29.283592	4.002156	tact_abst_8	2	32.365994
33.285843	5.08093699999999	vis_abst_2	2	34.131994
38.366877	4.066594	vis_Nabst_4	1	39.654994
42.450334	5.003314	tact_abst_6	2	43.990994
47.453781	6.096412	vis_abst_8	2	48.280994
53.567223	6.00372399999999	tact_abst_2	1	54.981994
59.571045	5.07922399999999	vis_abst_4	1	60.564994
64.650374	4.06658	vis_Nabst_6	2	65.478994
73.750404	4.066357	vis_abst_2	2	74.664994
77.816857	6.099947	vis_Nabst_4	1	78.770994
83.934013	5.003035	tact_abst_6	2	85.595994
88.937148	5.07994600000001	vis_abst_8	2	89.776994
94.033956	4.00239199999999	tact_abst_2	1	95.344994
98.03645	5.08070600000001	vis_Nabst_8	1	98.872994
103.134011	6.00373500000001	tact_abst_4	2	104.415994
109.137852	4.06269099999999	vis_Nabst_2	1	110.442994
113.200643	6.099924	vis_abst_6	2	116.504994
119.317671	5.002978	tact_abst_8	2	120.465994
124.320758	4.063204	vis_Nabst_6	1	125.235994
128.384066	6.09992000000001	vis_abst_4	1	130.104994
139.517519	5.08320200000002	vis_abst_2	1	141.365994
144.617563	4.001886	tact_abst_6	2	145.900994
148.619557	5.08123000000001	vis_Nabst_4	2	149.627994
153.700937	6.09986499999999	vis_abst_6	1	154.522994
159.81767	5.00287899999999	tact_abst_2	2	161.058994
164.820654	6.09687599999999	vis_abst_8	1	166.132994
170.917695	4.06654000000001	vis_Nabst_8	2	172.583994
175.001362	6.00318400000001	tact_abst_4	1	176.529994
181.004654	4.06298000000001	vis_Nabst_6	1	184.088994
185.08448	5.002867	tact_abst_8	2	187.381994
190.087448	6.096546	vis_Nabst_2	1	191.258994
196.184087	4.066951	vis_abst_4	1	196.956994
205.284481	6.09994899999999	vis_abst_2	2	206.315994
211.401169	5.002579	tact_abst_8	2	212.697994
216.403859	4.06367000000001	vis_Nabst_2	2	217.097994
220.484684	6.00376299999998	tact_abst_6	1	223.813994
226.488545	5.079326	vis_abst_4	2	227.360994
231.567969	6.09969200000004	vis_Nabst_6	1	233.522994
237.667761	5.08351000000001	vis_abst_8	2	238.571994
242.768007	6.003255	tact_abst_2	1	245.396994
248.771402	4.06326299999998	vis_Nabst_4	1	249.672994
252.834769	4.06659099999996	vis_abst_6	2	254.108994
256.901466	5.08325299999997	vis_Nabst_8	2	260.813994
262.001584	4.00276399999997	tact_abst_4	1	264.061994
271.034878	4.06658799999999	vis_abst_2	1	272.049994
275.101571	5.08296100000001	vis_Nabst_8	2	276.310994
280.201685	6.00346299999999	tact_abst_2	2	281.763994
286.205246	6.09596900000004	vis_Nabst_4	1	287.047994
292.301315	5.083603	vis_abst_6	2	293.323994
297.401791	4.00185699999996	tact_abst_8	2	300.533994
301.403755	6.09789199999999	vis_Nabst_6	1	305.707994
307.518383	4.00246499999997	tact_abst_4	1	309.788994
311.520945	6.09741999999998	vis_abst_8	1	312.796994
317.635245	5.002902	tact_abst_6	2	320.759994
322.638243	4.06350699999998	vis_Nabst_2	1	323.848994
326.701844	5.08327100000001	vis_abst_4	1	329.061994
336.818568	4.06632999999996	vis_Nabst_6	2	338.626994
340.90207	6.003478	tact_abst_4	2	342.802994
346.905644	5.07958899999998	vis_abst_2	1	347.951994
351.98533	4.06658799999999	vis_Nabst_4	2	353.005994
356.068781	6.00366700000002	tact_abst_8	2	358.179994
362.072546	4.06276799999998	vis_abst_6	2	362.943994
366.135413	6.09994099999999	vis_Nabst_2	1	367.564994
372.235453	5.08326400000002	vis_abst_8	1	373.181994
377.335562	4.00228499999997	tact_abst_6	2	380.920994
381.337957	5.08080300000001	vis_Nabst_8	0	0
386.418847	6.09970799999998	vis_abst_4	1	387.650994
392.535572	5.00297700000001	tact_abst_2	1	396.471994
