onset	duration	condition	resp	respTime
8	5.083298	vis_abst_8	2	9.035374
13.083407	4.066585	vis_Nabst_2	2	13.845374
17.166865	6.003662	tact_abst_6	1	19.198374
23.17063	4.062745	vis_abst_4	2	23.928374
27.233475	6.099947	vis_Nabst_6	1	28.029374
33.350192	5.00263499999999	tact_abst_4	1	37.439374
38.352927	4.063878	vis_abst_2	1	39.370374
42.433582	6.00294500000001	tact_abst_8	2	43.905374
48.436629	5.080242	vis_Nabst_4	2	49.528374
53.533745	4.002084	tact_abst_2	1	56.188374
57.535935	5.080982	vis_abst_6	2	59.471374
62.617022	6.099932	vis_Nabst_8	2	63.438374
73.750678	6.099674	vis_Nabst_6	1	74.474374
79.850448	4.06659700000001	vis_abst_4	1	81.035374
83.933879	6.00324699999999	tact_abst_8	1	87.606374
89.937341	5.07976999999999	vis_abst_2	2	90.684374
95.017215	5.083251	vis_Nabst_8	1	96.691374
100.117246	4.00218100000001	tact_abst_6	2	102.868374
104.119526	4.06432199999999	vis_Nabst_2	1	104.829374
108.183949	6.099935	vis_abst_6	2	109.798374
114.300659	5.00276800000001	tact_abst_2	2	115.187374
119.303531	6.09678099999999	vis_Nabst_4	1	120.161374
125.400426	5.08354699999999	vis_abst_8	2	127.026374
130.500768	4.00235999999999	tact_abst_4	1	131.831374
139.534432	4.066043	vis_abst_2	1	141.395374
143.600573	6.09990900000001	vis_Nabst_6	2	148.385374
149.717629	5.00289799999999	tact_abst_4	2	150.985374
154.720628	4.06321600000001	vis_Nabst_8	1	155.380374
158.783944	5.083323	vis_abst_4	2	160.654374
163.884275	4.00185199999998	tact_abst_2	1	165.179374
167.886229	6.09800499999998	vis_Nabst_4	2	168.746374
173.984397	6.099625	vis_abst_6	2	175.572374
180.101112	4.00211599999998	tact_abst_8	2	182.592374
184.103324	5.08099399999998	vis_Nabst_2	1	184.782374
189.201178	6.00334899999999	tact_abst_6	1	191.413374
195.204628	5.07975	vis_abst_8	2	195.848374
205.317837	5.08326800000001	vis_Nabst_4	1	206.730374
210.401208	6.09993799999999	vis_abst_6	1	211.589374
216.501249	4.066595	vis_Nabst_8	2	219.722374
220.567944	6.099647	vis_abst_2	1	221.174374
226.684652	5.002777	tact_abst_4	1	230.354374
231.701345	4.00178200000001	tact_abst_6	0	0
235.703216	6.09807699999999	vis_Nabst_2	2	237.349374
241.801399	5.083245	vis_abst_8	1	243.526374
246.884744	4.06659600000002	vis_Nabst_6	0	0
250.968385	4.00214299999998	tact_abst_2	2	253.374374
254.970627	6.09743099999998	vis_abst_4	1	255.689374
261.085251	5.00267700000003	tact_abst_8	2	264.151374
271.11823	6.09991899999999	vis_abst_2	2	272.852374
277.235032	4.00229399999999	tact_abst_8	1	279.673374
281.237424	6.097457	vis_Nabst_6	2	282.212374
287.334983	4.06658500000002	vis_Nabst_8	0	0
291.401656	5.08327299999999	vis_abst_4	1	292.211374
296.501676	6.00295199999999	tact_abst_2	1	297.919374
302.504736	4.063598	vis_abst_6	2	304.120374
306.568443	5.08323999999999	vis_Nabst_4	2	307.423374
311.651779	4.06659899999999	vis_abst_8	1	313.266374
315.735168	6.00355900000001	tact_abst_6	2	319.702374
321.738826	5.07939000000001	vis_Nabst_2	1	325.489374
326.835223	5.00260399999999	tact_abst_4	0	0
336.885706	4.00202000000002	tact_abst_8	1	338.706374
340.887823	5.08072999999998	vis_Nabst_2	2	341.530374
345.968649	4.06636499999999	vis_abst_4	1	346.813374
350.052122	6.00330499999999	tact_abst_6	2	351.354374
356.055524	5.07978699999995	vis_abst_2	2	356.737374
361.135467	4.06654800000001	vis_Nabst_8	1	361.811374
365.218868	5.00275900000002	tact_abst_4	1	367.609374
370.221725	4.06338499999995	vis_abst_8	1	371.530374
374.285218	6.10020400000003	vis_Nabst_6	2	375.322374
380.402273	6.00315400000004	tact_abst_2	1	381.628374
386.405538	5.079946	vis_abst_6	1	390.045374
391.485582	6.09994300000003	vis_Nabst_4	2	392.226374
