onset	duration	condition	resp	respTime
8	5.083284	vis_abst_8	1	9.212378
13.100032	6.003599	tact_abst_2	2	17.798378
19.103735	4.062925	vis_Nabst_8	1	20.288378
23.166774	5.083251	vis_abst_4	2	24.689378
28.250133	4.06657	vis_Nabst_2	2	29.473378
32.333453	5.002579	tact_abst_6	2	34.612378
37.33613	4.06395600000001	vis_Nabst_4	2	38.389378
41.40018	6.099935	vis_abst_2	2	42.500378
47.516978	4.00255399999999	tact_abst_8	1	51.261378
51.519626	6.097208	vis_abst_6	1	53.048378
57.633688	5.002943	tact_abst_4	2	59.718378
62.636732	6.09682399999999	vis_Nabst_6	1	63.635378
73.767023	6.099924	vis_abst_2	2	75.544378
79.867047	4.06658900000001	vis_Nabst_6	1	81.022378
83.950416	5.002815	tact_abst_4	2	86.271378
88.953331	6.097027	vis_Nabst_8	1	90.143378
95.067265	4.002067	tact_abst_2	2	96.988378
99.069432	5.080973	vis_abst_8	1	100.106378
104.150505	4.06658599999998	vis_Nabst_4	2	105.405378
108.233866	6.00376499999998	tact_abst_8	2	111.686378
114.237732	5.07941899999999	vis_abst_6	1	115.179378
119.317246	4.066348	vis_Nabst_2	2	120.727378
123.400807	5.00322399999999	tact_abst_6	2	127.707378
128.404133	6.096421	vis_abst_4	2	129.832378
139.534	6.09994099999999	vis_Nabst_2	2	142.051378
145.650845	5.00258499999999	tact_abst_6	1	148.158378
150.653525	4.063791	vis_abst_2	2	151.950378
154.734092	6.00323999999999	tact_abst_8	1	158.496378
160.737435	5.079935	vis_Nabst_4	2	161.993378
165.817469	6.09993700000001	vis_abst_8	1	167.162378
171.934268	4.00186199999999	tact_abst_4	0	0
175.936219	6.097902	vis_Nabst_6	1	176.542378
182.034217	5.08325999999998	vis_abst_4	1	183.686378
187.11758	4.06658600000001	vis_Nabst_8	1	188.531378
191.184262	5.08326700000002	vis_abst_6	1	193.725378
196.284265	4.00166700000002	tact_abst_2	2	199.937378
205.317673	5.083253	vis_abst_4	2	207.266378
210.417796	4.00233499999999	tact_abst_6	1	213.787378
214.420229	6.09742000000001	vis_Nabst_2	2	216.735378
220.517747	4.06658299999998	vis_abst_8	1	222.278378
224.58443	6.09993399999998	vis_Nabst_4	2	229.548378
230.701137	5.00289299999998	tact_abst_2	1	235.166378
235.704127	6.096957	vis_Nabst_6	1	238.134378
241.817874	4.00195800000004	tact_abst_4	2	245.234378
245.819929	5.08121400000004	vis_abst_6	1	250.059378
250.917912	6.00331900000002	tact_abst_8	1	255.597378
256.921326	5.07985700000002	vis_abst_2	2	258.840378
262.00128	4.06658799999999	vis_Nabst_8	2	262.507378
271.118106	5.002826	tact_abst_8	1	275.220378
276.121029	4.06358299999998	vis_Nabst_4	0	0
280.184703	6.09993599999999	vis_abst_6	1	281.880378
286.284739	4.06659400000004	vis_Nabst_2	2	287.967378
290.368199	5.00333299999998	tact_abst_6	1	294.289378
295.37163	6.09642700000003	vis_abst_4	2	297.267378
301.484924	4.00200700000004	tact_abst_2	2	304.312378
305.487029	5.08107000000001	vis_Nabst_8	1	306.667378
310.568195	6.09992600000004	vis_abst_2	2	311.716378
316.668223	4.06659000000003	vis_Nabst_6	2	316.780378
320.751792	5.00263900000002	tact_abst_4	1	324.424378
325.754532	6.09700300000003	vis_abst_8	1	328.774378
336.884984	4.06659999999998	vis_Nabst_4	2	338.084378
340.968383	5.00294799999998	tact_abst_6	1	344.585378
345.971427	6.09687199999997	vis_abst_8	1	347.594378
352.085164	4.00206899999996	tact_abst_2	2	354.958378
356.08733	5.08102100000001	vis_Nabst_6	1	358.226378
361.168445	4.06658900000004	vis_abst_2	2	362.612378
365.251812	6.00341800000001	tact_abst_8	1	367.855378
371.255329	4.06308899999998	vis_abst_4	2	372.361378
375.31852	5.08327600000001	vis_Nabst_8	1	376.402378
380.418651	6.00318100000004	tact_abst_4	0	0
386.421921	5.07991499999998	vis_abst_6	1	387.548378
391.501932	6.09992999999999	vis_Nabst_2	2	392.467378
