onset	duration	condition	resp	respTime
8	4.033742	vis_Nabst_6	1	8.905539
12.033843	5.042341	vis_abst_2	2	12.732539
17.084782	6.003011	tact_abst_8	1	18.944539
23.08789	4.03151000000001	vis_Nabst_2	2	23.868539
27.1195	4.03385400000001	vis_abst_8	1	27.909539
31.162007	6.003284	tact_abst_6	1	34.355539
37.165392	6.048147	vis_abst_4	2	37.933539
43.222234	5.002859	tact_abst_2	2	45.002539
48.225192	6.04838699999999	vis_Nabst_4	2	49.353539
54.27368	5.042336	vis_abst_6	1	54.732539
59.316129	4.03384299999999	vis_Nabst_8	1	60.100539
63.358662	5.00273000000001	tact_abst_4	2	65.239539
73.385173	4.00212	tact_abst_6	1	75.342539
77.387391	6.04900799999997	vis_abst_8	1	78.216539
83.436507	5.04233100000001	vis_Nabst_2	2	84.363539
88.479119	4.03366900000002	vis_abst_6	1	89.307539
92.521392	6.00310099999999	tact_abst_4	2	94.591539
98.524594	5.039899	vis_abst_2	2	99.600539
103.564607	6.05082200000001	vis_Nabst_4	2	104.674539
109.624117	4.00197500000001	tact_abst_8	2	113.485539
113.626201	5.040622	vis_Nabst_6	1	114.648539
118.666921	5.04234399999998	vis_abst_4	2	119.462539
123.717957	4.002136	tact_abst_2	2	124.970539
127.72019	6.04895299999998	vis_Nabst_8	1	128.463539
138.786823	6.05069099999999	vis_abst_4	2	139.659539
144.837658	6.05078699999998	vis_Nabst_6	1	145.736539
150.888544	5.04234599999999	vis_abst_8	1	151.638539
155.939578	6.00341500000001	tact_abst_6	1	158.349539
161.943094	4.031008	vis_Nabst_4	2	162.969539
165.982794	4.002399	tact_abst_2	2	167.329539
169.985346	6.04863800000001	vis_Nabst_8	1	170.782539
176.034083	4.03385099999999	vis_abst_6	1	176.579539
180.06803	5.04235099999999	vis_Nabst_2	2	180.820539
185.119061	4.00203100000002	tact_abst_4	2	187.017539
189.121234	5.04054399999999	vis_abst_2	2	189.911539
194.170471	5.00292100000003	tact_abst_8	1	195.938539
204.18857	6.05067999999999	vis_Nabst_2	2	204.988539
210.239361	4.03383799999999	vis_abst_8	1	210.881539
214.281895	4.00199699999997	tact_abst_6	1	218.105539
218.283987	5.04060700000002	vis_abst_4	2	219.098539
223.324696	6.05083100000001	vis_Nabst_8	1	224.087539
229.384216	4.002277	tact_abst_2	2	232.684539
233.386587	5.04033399999997	vis_abst_6	1	234.465539
238.435521	6.00387	tact_abst_4	2	240.367539
244.439493	5.03912699999998	vis_Nabst_6	1	245.446539
249.487315	4.00207699999999	tact_abst_8	1	252.516539
253.48949	5.04052299999999	vis_Nabst_4	2	254.517539
258.53011	6.05083500000002	vis_abst_2	2	259.521539
269.598623	6.05069	vis_abst_8	1	270.328539
275.649413	4.03385700000002	vis_Nabst_2	2	276.385539
279.691962	4.00183000000002	tact_abst_8	1	282.696539
283.693886	5.040777	vis_abst_6	1	284.547539
288.734763	5.04233799999999	vis_Nabst_4	2	289.486539
293.777195	5.04235099999997	vis_abst_2	2	294.546539
298.828233	4.00195999999996	tact_abst_4	2	301.725539
302.830294	6.049141	vis_Nabst_8	1	303.556539
308.888072	4.00242200000002	tact_abst_6	2	312.397539
312.890602	6.07371899999998	vis_abst_4	2	313.984539
318.972921	6.003571	tact_abst_2	2	322.326539
324.97664	5.03938099999999	vis_Nabst_6	1	325.704539
335.042145	6.00324599999998	tact_abst_4	2	336.914539
341.045493	5.03966599999997	vis_Nabst_2	2	341.909539
346.085257	4.03385399999999	vis_abst_4	2	347.112539
350.127712	6.00328100000002	tact_abst_8	1	351.812539
356.136966	5.00252599999995	tact_abst_6	0	0
361.139585	4.03184500000003	vis_Nabst_8	1	362.040539
365.180115	5.00287699999998	tact_abst_2	2	366.331539
370.183092	6.04837299999996	vis_Nabst_4	2	371.151539
376.231569	5.04233999999997	vis_abst_8	1	376.814539
381.274005	4.03385499999998	vis_abst_4	2	382.167539
385.307962	4.03385399999999	vis_abst_2	2	386.044539
389.341915	6.05083100000001	vis_Nabst_6	1	390.070539
