Run	Condition	Onset	Duration	Resp	RespTime
6	vis_abst_2	8	5.083286	2	10.357744
6	tact_abst_8	13.10014	6.003557	1	18.121744
6	vis_Nabst_6	19.103797	4.06286	1	21.763744
6	tact_abst_4	23.183484	6.00341300000001	2	26.403744
6	vis_abst_8	29.186993	4.063043	1	30.529744
6	vis_Nabst_4	33.250134	5.083261	2	35.174744
6	tact_abst_6	38.350171	4.00242700000001	1	41.550744
6	vis_Nabst_2	42.352694	4.06406	2	43.696744
6	vis_abst_4	46.416849	5.083265	2	48.001744
6	vis_Nabst_8	51.50022	6.099914	1	52.811744
6	tact_abst_2	57.617011	5.00288699999999	2	59.507744
6	vis_abst_6	62.619993	6.096857	1	64.935744
6	tact_abst_4	73.767055	4.002242	0	0
6	vis_Nabst_8	77.769386	6.097534	1	78.386744
6	vis_abst_6	83.867018	5.08325099999999	1	85.311744
6	tact_abst_2	88.967047	4.001649	2	90.824744
6	vis_abst_4	92.969137	6.09784300000001	2	94.511744
6	vis_Nabst_6	99.067087	5.08324400000001	1	100.059744
6	vis_abst_2	104.150427	5.083269	2	105.508744
6	tact_abst_8	109.250473	4.00232500000001	1	112.837744
6	vis_Nabst_4	113.252898	6.09750199999998	2	114.728744
6	vis_abst_8	119.3505	5.083261	1	120.515744
6	vis_Nabst_2	124.433861	6.099916	2	125.689744
6	tact_abst_6	130.550612	4.00228600000002	1	134.360744
6	vis_abst_2	139.583915	4.06659299999999	2	141.475744
6	vis_Nabst_8	143.650606	6.099924	1	144.938744
6	vis_abst_4	149.750627	5.08325200000001	2	152.457744
6	tact_abst_6	154.850748	6.00345000000001	1	158.758744
6	vis_abst_8	160.854297	4.06295699999999	1	161.936744
6	vis_Nabst_2	164.917355	5.083182	2	166.092744
6	tact_abst_4	170.017525	6.00317300000001	2	174.764744
6	vis_Nabst_6	176.020799	4.06318799999999	1	177.508744
6	tact_abst_8	180.100773	5.00272499999998	2	182.502744
6	vis_Nabst_4	185.103598	6.09709900000002	2	186.314744
6	tact_abst_2	191.217569	5.00282799999998	2	193.259744
6	vis_abst_6	196.220492	4.063579	1	197.594744
6	vis_Nabst_8	205.317825	4.066288	1	207.967744
6	vis_abst_2	209.384207	5.083019	2	210.886744
6	tact_abst_6	214.484285	6.00361199999999	1	217.696744
6	vis_Nabst_2	220.488002	4.06284599999999	2	222.171744
6	tact_abst_4	224.567905	5.002693	2	227.131744
6	vis_abst_6	229.570696	6.09686499999999	1	230.992744
6	tact_abst_8	235.684454	5.00274299999996	1	235.807744
6	vis_Nabst_4	240.687295	6.09697900000005	2	242.039744
6	tact_abst_2	246.801134	4.002364	2	249.193744
6	vis_abst_8	250.803617	5.08040499999997	1	252.496744
6	vis_Nabst_6	255.884122	4.06687899999996	2	257.675744
6	vis_abst_4	259.951103	6.09962699999998	2	261.322744
6	vis_Nabst_6	271.084474	6.09992700000002	1	272.279744
6	tact_abst_8	277.201206	5.00319099999999	1	281.129744
6	vis_Nabst_4	282.204491	4.06327500000002	2	284.966744
6	vis_abst_8	286.267863	6.09993799999997	1	287.860744
6	tact_abst_2	292.384701	4.00229499999998	2	294.002744
6	vis_Nabst_8	296.387095	5.08073799999995	1	297.569744
6	vis_abst_6	301.467929	4.066598	1	303.985744
6	tact_abst_4	305.551302	6.00249699999997	2	308.690744
6	vis_abst_2	311.553895	4.06399900000001	2	312.851744
6	tact_abst_6	315.634777	5.00261900000001	1	318.050744
6	vis_abst_4	320.637489	6.09711999999999	2	322.086744
6	vis_Nabst_2	326.734706	5.08326299999998	2	328.118744
6	tact_abst_2	336.868249	5.003049	2	339.878744
6	vis_Nabst_8	341.871403	4.06300700000004	1	343.221744
6	vis_abst_6	345.934505	6.09993300000002	1	347.557744
6	vis_Nabst_4	352.034538	5.08353600000002	2	353.324744
6	tact_abst_8	357.134856	6.003641	1	361.302744
6	vis_abst_2	363.138592	5.07953600000002	2	364.550744
6	vis_Nabst_6	368.218233	4.06656799999997	1	369.280744
6	vis_abst_4	372.284909	6.09991400000005	1	372.433744
6	tact_abst_6	378.401706	5.002891	2	382.556744
6	vis_Nabst_2	383.404693	4.06317699999997	2	384.836744
6	vis_abst_8	387.467966	6.10026699999999	1	388.868744
6	tact_abst_4	393.585187	4.00210999999999	2	395.528744
