Run	Condition	Onset	Duration	Resp	RespTime
5	vis_abst_8	8	5.083175	1	9.613634
5	vis_Nabst_2	13.08328	4.066577	2	14.388634
5	tact_abst_6	17.166718	6.00346999999999	1	21.737634
5	vis_abst_4	23.170287	4.062944	2	24.955634
5	vis_Nabst_6	27.233338	6.099916	1	29.296634
5	tact_abst_4	33.350388	5.002898	1	38.052634
5	vis_abst_2	38.353381	4.063253	2	40.541634
5	tact_abst_8	42.433408	6.00317999999999	2	44.233634
5	vis_Nabst_4	48.436686	5.079992	2	50.974634
5	tact_abst_2	53.533802	4.00238399999999	2	55.185634
5	vis_abst_6	57.53628	5.08043500000001	1	59.206634
5	vis_Nabst_8	62.616816	6.09992	1	63.707634
5	vis_Nabst_6	73.750238	6.09964	1	75.860634
5	vis_abst_4	79.849978	4.066825	2	82.107634
5	tact_abst_8	83.93367	6.003717	1	87.401634
5	vis_abst_2	89.937595	5.079015	2	91.167634
5	vis_Nabst_8	95.01671	5.08321100000001	1	96.940634
5	tact_abst_6	100.117082	4.00230499999999	0	0
5	vis_Nabst_2	104.119476	4.06382199999999	1	104.783634
5	vis_abst_6	108.183396	6.10020300000001	1	109.533634
5	tact_abst_2	114.300729	5.00305799999999	2	116.064634
5	vis_Nabst_4	119.303887	6.09620000000001	2	122.146634
5	vis_abst_8	125.400192	5.08348000000001	1	126.461634
5	tact_abst_4	130.500533	4.002054	2	133.012634
5	vis_abst_2	139.533811	4.06657200000001	2	140.686634
5	vis_Nabst_6	143.600483	6.09965800000002	1	145.441634
5	tact_abst_4	149.71724	5.00304800000001	2	153.284634
5	vis_Nabst_8	154.72039	4.06339600000001	1	155.863634
5	vis_abst_4	158.783884	5.083255	2	159.835634
5	tact_abst_2	163.883922	4.001965	2	166.116634
5	vis_Nabst_4	167.885984	6.097872	2	169.334634
5	vis_abst_6	173.98404	6.09985200000001	2	174.338634
5	tact_abst_8	180.101082	4.00230499999999	1	182.950634
5	vis_Nabst_2	184.103487	5.080432	2	186.527634
5	tact_abst_6	189.200789	6.00339800000002	1	191.836634
5	vis_abst_8	195.204287	5.07967500000002	1	196.346634
5	vis_Nabst_4	205.317406	5.083261	2	206.659634
5	vis_abst_6	210.400767	6.09993100000001	1	211.982634
5	vis_Nabst_8	216.500806	4.066582	1	217.495634
5	vis_abst_2	220.567486	6.09963299999997	2	221.776634
5	tact_abst_4	226.684277	5.00301000000001	2	229.031634
5	tact_abst_6	231.700875	4.00171300000005	1	233.047634
5	vis_Nabst_2	235.70269	6.09777000000002	2	237.742634
5	vis_abst_8	241.800557	5.08359899999999	1	242.507634
5	vis_Nabst_6	246.884253	4.06631799999997	1	248.164634
5	tact_abst_2	250.967708	4.00227899999998	2	253.139634
5	vis_abst_4	254.970082	6.09718100000004	2	256.067634
5	tact_abst_8	261.084339	5.00304800000001	2	264.080634
5	vis_abst_2	271.117696	6.099924	2	272.442634
5	tact_abst_8	277.234396	4.00269099999999	1	280.011634
5	vis_Nabst_6	281.237186	6.096913	1	284.421634
5	vis_Nabst_8	287.3342	4.06681400000001	0	0
5	vis_abst_4	291.4011	5.08327100000001	2	293.896634
5	tact_abst_2	296.501247	6.00364000000001	2	298.152634
5	vis_abst_6	302.504984	4.06251900000003	1	304.633634
5	vis_Nabst_4	306.567601	5.08322999999998	2	310.161634
5	vis_abst_8	311.650929	4.06684700000001	1	312.860634
5	tact_abst_6	315.73486	6.00342799999996	2	318.922634
5	vis_Nabst_2	321.738389	5.07915700000001	2	323.996634
5	tact_abst_4	326.834702	5.00288499999995	1	329.544634
5	tact_abst_8	336.88472	4.002467	2	339.842634
5	vis_Nabst_2	340.887285	5.08062	2	342.646634
5	vis_abst_4	345.968	4.066315	2	347.521634
5	tact_abst_6	350.051506	6.00378300000005	1	353.273634
5	vis_abst_2	356.055396	5.078902	2	357.150634
5	vis_Nabst_8	361.134397	4.06694100000005	1	364.215634
5	tact_abst_4	365.218115	5.00277299999999	2	367.343634
5	vis_abst_8	370.220987	4.063489	1	374.148634
5	vis_Nabst_6	374.284572	6.09991699999996	1	376.768634
5	tact_abst_2	380.401486	6.003402	2	382.485634
5	vis_abst_6	386.404988	5.07947399999999	1	388.597634
5	vis_Nabst_4	391.484561	6.09995399999997	2	392.943634
