Run	Condition	Onset	Duration	Resp	RespTime
7	vis_Nabst_2	8	4.066548	2	9.324123
7	tact_abst_8	12.083399	5.002876	1	14.507123
7	vis_abst_4	17.086372	6.09693	2	18.434123
7	tact_abst_6	23.20015	4.00242599999999	1	25.409123
7	vis_Nabst_8	27.202674	6.09736799999999	1	28.652123
7	tact_abst_4	33.316907	6.003569	2	35.787123
7	vis_abst_8	39.320574	5.079546	1	40.546123
7	tact_abst_2	44.41697	4.00200700000001	2	45.975123
7	vis_Nabst_6	48.419075	5.08110799999999	1	49.821123
7	vis_abst_2	53.500277	6.09996100000001	2	54.731123
7	vis_Nabst_4	59.60034	5.08325999999999	2	61.052123
7	vis_abst_6	64.683699	4.066601	1	65.847123
7	tact_abst_4	73.800546	6.00363	2	76.639123
7	vis_abst_6	79.804273	4.06280600000001	1	81.084123
7	vis_Nabst_4	83.867178	5.083	2	85.191123
7	tact_abst_2	88.967301	6.00327599999998	2	90.619123
7	vis_abst_8	94.970795	4.06306200000001	1	96.152123
7	vis_Nabst_2	99.033952	5.08328099999999	2	100.418123
7	tact_abst_8	104.134004	6.003372	1	105.861123
7	vis_Nabst_6	110.137477	5.07984100000002	1	111.584123
7	vis_abst_4	115.217415	4.06631100000002	2	116.508123
7	vis_Nabst_8	119.283822	5.083554	1	120.699123
7	tact_abst_6	124.384244	4.00203199999998	1	126.102123
7	vis_abst_2	128.386371	6.09774600000001	2	129.650123
7	vis_abst_8	139.517581	5.08327799999999	1	140.911123
7	vis_Nabst_2	144.600957	6.09995799999998	2	145.905123
7	vis_abst_6	150.701058	4.06654999999999	1	151.942123
7	tact_abst_8	154.784386	5.002992	1	156.437123
7	vis_Nabst_4	159.787479	4.06352799999999	2	161.042123
7	tact_abst_6	163.868058	6.003519	1	165.613123
7	vis_abst_2	169.871736	5.079351	2	171.141123
7	vis_Nabst_8	174.951185	4.06660000000001	1	176.280123
7	tact_abst_4	179.034647	6.00392999999999	2	180.705123
7	vis_Nabst_6	185.038683	4.06250899999999	1	186.403123
7	vis_abst_4	189.101285	5.08325899999999	2	190.474123
7	tact_abst_2	194.201367	6.00270999999999	2	195.858123
7	vis_abst_6	205.234783	4.06656	1	206.435123
7	vis_Nabst_2	209.30144	5.08327499999999	2	210.551123
7	tact_abst_4	214.401489	6.00338700000002	2	216.064123
7	vis_Nabst_8	220.404978	4.062864	1	221.772123
7	vis_abst_2	224.467937	5.08355900000001	2	225.758123
7	tact_abst_8	229.568271	6.00330600000004	1	231.276123
7	vis_Nabst_4	235.571683	5.07989500000002	2	236.879123
7	tact_abst_6	240.668641	4.00223600000003	1	243.046123
7	vis_abst_4	244.670972	6.09706400000001	2	245.835123
7	tact_abst_2	250.785096	5.00298100000003	2	252.426123
7	vis_Nabst_6	255.788177	6.09687699999998	1	257.166123
7	vis_abst_8	261.885152	4.06661100000003	1	263.278123
7	tact_abst_2	271.002002	4.00257299999998	2	272.538123
7	vis_Nabst_4	275.004695	6.09717800000001	2	276.380123
7	tact_abst_6	281.118615	5.00266099999996	1	283.320123
7	vis_abst_8	286.121374	4.063897	1	287.635123
7	vis_Nabst_2	290.185369	5.08327600000001	2	291.632123
7	tact_abst_8	295.285519	6.00365600000002	1	297.060123
7	vis_abst_4	301.289277	4.06278000000003	2	302.778123
7	vis_Nabst_6	305.352161	5.083255	1	306.505123
7	vis_abst_2	310.435514	6.09994699999999	2	311.739123
7	tact_abst_4	316.552276	4.00220000000001	2	319.357123
7	vis_Nabst_8	320.554575	6.097397	1	321.772123
7	vis_abst_6	326.652067	5.08349900000001	1	327.879123
7	vis_Nabst_2	336.769034	6.09995699999999	2	338.112123
7	tact_abst_6	342.885892	5.00268500000006	1	344.862123
7	vis_Nabst_8	347.888676	4.06370499999996	1	349.043123
7	tact_abst_2	351.969423	5.00265400000004	2	353.514123
7	vis_abst_8	356.972174	6.09696500000003	1	358.259123
7	vis_Nabst_4	363.069238	4.06659700000001	2	364.350123
7	vis_abst_6	367.13593	5.08328100000002	1	368.467123
7	tact_abst_4	372.23601	4.00206599999999	2	374.099123
7	vis_Nabst_6	376.238173	6.09777900000004	1	378.330123
7	vis_abst_2	382.336047	5.08298300000001	2	383.499123
7	tact_abst_8	387.43619	4.002087	1	389.137123
7	vis_abst_4	391.438379	6.09767800000001	2	392.695123
