Run	Condition	Onset	Duration	Resp	RespTime
2	vis_Nabst_6	8	4.066628	1	9.327627
2	vis_abst_2	12.066732	5.083278	2	13.359627
2	tact_abst_8	17.166834	6.00354799999999	1	18.777627
2	vis_Nabst_2	23.170478	4.062934	2	24.270627
2	vis_abst_8	27.233509	4.066602	1	28.371627
2	tact_abst_6	31.31688	6.002901	1	32.962627
2	vis_abst_4	37.319875	6.09698299999999	2	38.475627
2	tact_abst_2	43.433644	5.00293599999999	2	44.751627
2	vis_Nabst_4	48.436682	6.09692400000001	2	49.825627
2	vis_abst_6	54.533713	5.08326800000001	1	55.613627
2	vis_Nabst_8	59.617082	4.06659699999999	1	60.872627
2	tact_abst_4	63.700547	5.002933	2	65.452627
2	tact_abst_6	73.750622	4.00205900000001	1	76.353627
2	vis_abst_8	77.752777	6.09771100000001	1	79.063627
2	vis_Nabst_2	83.850597	5.08325	2	85.114627
2	vis_abst_6	88.933949	4.066605	1	90.233627
2	tact_abst_4	93.017469	6.00331099999999	2	95.372627
2	vis_abst_2	99.020882	5.07974799999999	2	100.182627
2	vis_Nabst_4	104.100732	6.09994699999999	2	105.411627
2	tact_abst_8	110.217424	4.00235800000001	1	111.897627
2	vis_Nabst_6	114.219879	5.080859	1	115.679627
2	vis_abst_4	119.300835	5.083272	2	120.808627
2	tact_abst_2	124.400984	4.002098	2	125.822627
2	vis_Nabst_8	128.403185	6.09766400000002	1	129.749627
2	vis_abst_4	139.53431	6.09994900000002	2	140.770627
2	vis_Nabst_6	145.634359	6.09994700000001	1	147.016627
2	vis_abst_8	151.734406	5.083269	1	152.999627
2	tact_abst_6	156.834556	6.00372500000001	1	159.225627
2	vis_Nabst_4	162.838382	4.062696	2	164.309627
2	tact_abst_2	166.917953	4.001927	2	168.266627
2	vis_Nabst_8	170.920043	6.09780100000001	1	172.212627
2	vis_abst_6	177.017959	4.066565	1	178.159627
2	vis_Nabst_2	181.084626	5.08325899999999	2	182.345627
2	tact_abst_4	186.184676	4.00200599999999	2	187.889627
2	vis_abst_2	190.186775	5.08118900000001	2	191.451627
2	tact_abst_8	195.284745	5.00263500000001	1	196.839627
2	vis_Nabst_2	205.318197	6.09987299999999	2	206.613627
2	vis_abst_8	211.41817	4.066595	1	212.605627
2	tact_abst_6	215.501554	4.00212600000002	1	217.914627
2	vis_abst_4	219.503775	5.08106600000002	2	220.948627
2	vis_Nabst_8	224.58494	6.09994399999999	1	225.887627
2	tact_abst_2	230.701752	4.00252899999998	2	232.064627
2	vis_abst_6	234.704378	5.080565	1	235.975627
2	tact_abst_4	239.801822	6.003658	2	241.613627
2	vis_Nabst_6	245.805581	5.07944999999995	1	247.091627
2	tact_abst_8	250.901915	4.00216399999999	1	252.370627
2	vis_Nabst_4	254.904176	5.08092099999997	2	256.436627
2	vis_abst_2	259.985195	6.09994099999999	2	261.206627
2	vis_abst_8	271.118595	6.09995000000001	1	272.447627
2	vis_Nabst_2	277.218644	4.06661100000003	2	278.539627
2	tact_abst_8	281.302048	4.00223200000002	1	282.820627
2	vis_abst_6	285.304376	5.08093799999997	1	286.736627
2	vis_Nabst_4	290.385442	5.08324300000002	2	291.875627
2	vis_abst_2	295.468788	5.08326399999997	2	296.854627
2	tact_abst_4	300.56894	4.00233999999997	2	302.752627
2	vis_Nabst_8	304.571389	6.09716600000003	1	305.980627
2	tact_abst_6	310.685669	4.00241099999996	1	312.740627
2	vis_abst_4	314.688175	6.09735399999999	2	316.028627
2	tact_abst_2	320.802411	6.00377100000001	2	322.115627
2	vis_Nabst_6	326.806283	5.07931299999997	1	328.002627
2	tact_abst_4	336.935852	6.003728	2	338.859627
2	vis_Nabst_2	342.93968	5.07938	2	344.248627
2	vis_abst_4	348.019157	4.06660999999999	2	349.456627
2	tact_abst_8	352.102543	6.004038	1	353.732627
2	tact_abst_6	358.119334	5.00294699999999	0	0
2	vis_Nabst_8	363.122374	4.06349100000004	1	364.489627
2	tact_abst_2	367.202705	5.00327500000002	2	368.785627
2	vis_Nabst_4	372.206079	6.09654000000004	2	373.614627
2	vis_abst_8	378.302716	5.08327000000002	1	379.457627
2	vis_abst_4	383.386081	4.06660399999999	2	384.730627
2	vis_abst_2	387.452778	4.066603	2	388.737627
2	vis_Nabst_6	391.519482	6.09995000000001	1	392.968627
