onset	duration	trial_type	resp	respTime
8	4.066548	vis_Nabst_2	2	9.324123
12.083399	5.002876	tact_abst_8	1	14.507123
17.086372	6.09693	vis_abst_4	2	18.434123
23.20015	4.00242599999999	tact_abst_6	1	25.409123
27.202674	6.09736799999999	vis_Nabst_8	1	28.652123
33.316907	6.003569	tact_abst_4	2	35.787123
39.320574	5.079546	vis_abst_8	1	40.546123
44.41697	4.00200700000001	tact_abst_2	2	45.975123
48.419075	5.08110799999999	vis_Nabst_6	1	49.821123
53.500277	6.09996100000001	vis_abst_2	2	54.731123
59.60034	5.08325999999999	vis_Nabst_4	2	61.052123
64.683699	4.066601	vis_abst_6	1	65.847123
73.800546	6.00363	tact_abst_4	2	76.639123
79.804273	4.06280600000001	vis_abst_6	1	81.084123
83.867178	5.083	vis_Nabst_4	2	85.191123
88.967301	6.00327599999998	tact_abst_2	2	90.619123
94.970795	4.06306200000001	vis_abst_8	1	96.152123
99.033952	5.08328099999999	vis_Nabst_2	2	100.418123
104.134004	6.003372	tact_abst_8	1	105.861123
110.137477	5.07984100000002	vis_Nabst_6	1	111.584123
115.217415	4.06631100000002	vis_abst_4	2	116.508123
119.283822	5.083554	vis_Nabst_8	1	120.699123
124.384244	4.00203199999998	tact_abst_6	1	126.102123
128.386371	6.09774600000001	vis_abst_2	2	129.650123
139.517581	5.08327799999999	vis_abst_8	1	140.911123
144.600957	6.09995799999998	vis_Nabst_2	2	145.905123
150.701058	4.06654999999999	vis_abst_6	1	151.942123
154.784386	5.002992	tact_abst_8	1	156.437123
159.787479	4.06352799999999	vis_Nabst_4	2	161.042123
163.868058	6.003519	tact_abst_6	1	165.613123
169.871736	5.079351	vis_abst_2	2	171.141123
174.951185	4.06660000000001	vis_Nabst_8	1	176.280123
179.034647	6.00392999999999	tact_abst_4	2	180.705123
185.038683	4.06250899999999	vis_Nabst_6	1	186.403123
189.101285	5.08325899999999	vis_abst_4	2	190.474123
194.201367	6.00270999999999	tact_abst_2	2	195.858123
205.234783	4.06656	vis_abst_6	1	206.435123
209.30144	5.08327499999999	vis_Nabst_2	2	210.551123
214.401489	6.00338700000002	tact_abst_4	2	216.064123
220.404978	4.062864	vis_Nabst_8	1	221.772123
224.467937	5.08355900000001	vis_abst_2	2	225.758123
229.568271	6.00330600000004	tact_abst_8	1	231.276123
235.571683	5.07989500000002	vis_Nabst_4	2	236.879123
240.668641	4.00223600000003	tact_abst_6	1	243.046123
244.670972	6.09706400000001	vis_abst_4	2	245.835123
250.785096	5.00298100000003	tact_abst_2	2	252.426123
255.788177	6.09687699999998	vis_Nabst_6	1	257.166123
261.885152	4.06661100000003	vis_abst_8	1	263.278123
271.002002	4.00257299999998	tact_abst_2	2	272.538123
275.004695	6.09717800000001	vis_Nabst_4	2	276.380123
281.118615	5.00266099999996	tact_abst_6	1	283.320123
286.121374	4.063897	vis_abst_8	1	287.635123
290.185369	5.08327600000001	vis_Nabst_2	2	291.632123
295.285519	6.00365600000002	tact_abst_8	1	297.060123
301.289277	4.06278000000003	vis_abst_4	2	302.778123
305.352161	5.083255	vis_Nabst_6	1	306.505123
310.435514	6.09994699999999	vis_abst_2	2	311.739123
316.552276	4.00220000000001	tact_abst_4	2	319.357123
320.554575	6.097397	vis_Nabst_8	1	321.772123
326.652067	5.08349900000001	vis_abst_6	1	327.879123
336.769034	6.09995699999999	vis_Nabst_2	2	338.112123
342.885892	5.00268500000006	tact_abst_6	1	344.862123
347.888676	4.06370499999996	vis_Nabst_8	1	349.043123
351.969423	5.00265400000004	tact_abst_2	2	353.514123
356.972174	6.09696500000003	vis_abst_8	1	358.259123
363.069238	4.06659700000001	vis_Nabst_4	2	364.350123
367.13593	5.08328100000002	vis_abst_6	1	368.467123
372.23601	4.00206599999999	tact_abst_4	2	374.099123
376.238173	6.09777900000004	vis_Nabst_6	1	378.330123
382.336047	5.08298300000001	vis_abst_2	2	383.499123
387.43619	4.002087	tact_abst_8	1	389.137123
391.438379	6.09767800000001	vis_abst_4	2	392.695123
