onset	duration	trial_type	resp	respTime
8	6.099949	vis_Nabst_8	1	9.716064
14.100054	4.066587	vis_abst_6	1	15.329064
18.183424	6.003193	tact_abst_4	2	20.218064
24.186715	5.07997300000001	vis_Nabst_2	2	25.322064
29.283477	4.00174	tact_abst_8	1	31.674064
33.285309	5.08142399999999	vis_abst_2	2	34.478064
38.366837	4.066586	vis_Nabst_4	2	39.836064
42.450309	5.00310900000001	tact_abst_6	1	46.003064
47.453523	6.096622	vis_abst_8	1	48.682064
53.566987	6.00363100000001	tact_abst_2	2	56.311064
59.570715	5.07947900000001	vis_abst_4	2	60.826064
64.650292	4.066588	vis_Nabst_6	1	67.122064
73.750321	4.066603	vis_abst_2	2	75.030064
77.81702	6.09994099999999	vis_Nabst_4	2	79.511064
83.93373	5.00248700000001	tact_abst_6	1	86.670064
88.936314	5.0807	vis_abst_8	1	90.153064
94.033877	4.002452	tact_abst_2	2	96.798064
98.036427	5.08061899999999	vis_Nabst_8	1	99.323064
103.133826	6.00329100000003	tact_abst_4	2	105.180064
109.137215	4.063215	vis_Nabst_2	2	110.419064
113.200524	6.09993900000001	vis_abst_6	1	114.421064
119.317242	5.00297599999999	tact_abst_8	1	123.127064
124.320319	4.063514	vis_Nabst_6	1	125.656064
128.383926	6.09994500000001	vis_abst_4	2	129.738064
139.517314	5.083264	vis_abst_2	2	141.073064
144.617357	4.00215899999998	tact_abst_6	1	148.607064
148.619612	5.08101999999999	vis_Nabst_4	2	149.934064
153.700739	6.09991200000001	vis_abst_6	1	155.148064
159.817431	5.00308600000001	tact_abst_2	2	163.220064
164.820616	6.096766	vis_abst_8	1	165.925064
170.917539	4.066522	vis_Nabst_8	1	172.211064
175.000848	6.00337099999998	tact_abst_4	2	176.771064
181.004328	4.06312400000001	vis_Nabst_6	1	182.858064
185.084313	5.00260399999999	tact_abst_8	1	189.664064
190.087018	6.09714999999999	vis_Nabst_2	2	191.295064
196.184268	4.06658900000001	vis_abst_4	2	197.766064
205.284302	6.09993599999999	vis_abst_2	2	206.492064
211.401108	5.00280900000001	tact_abst_8	1	214.291064
216.404017	4.06359699999998	vis_Nabst_2	2	218.771064
220.484485	6.003332	tact_abst_6	0	0
226.487908	5.07976499999998	vis_abst_4	2	228.096064
231.567774	6.099929	vis_Nabst_6	1	232.711064
237.6678	5.08325900000002	vis_abst_8	1	238.858064
242.767931	6.00298599999998	tact_abst_2	2	244.705064
248.771022	4.06341600000003	vis_Nabst_4	2	250.233064
252.834557	4.06657799999998	vis_abst_6	1	254.329064
256.901234	5.083261	vis_Nabst_8	1	258.231064
262.001268	4.00184999999998	tact_abst_4	2	265.795064
271.034645	4.06657699999999	vis_abst_2	2	272.316064
275.101323	5.08324799999996	vis_Nabst_8	1	276.437064
280.201447	6.00337100000004	tact_abst_2	2	282.050064
286.204921	6.09637899999996	vis_Nabst_4	2	287.573064
292.301396	5.08326299999998	vis_abst_6	1	293.755064
297.401524	4.00229300000001	tact_abst_8	1	300.066064
301.403923	6.09745299999998	vis_Nabst_6	1	302.636064
307.518245	4.00207200000004	tact_abst_4	2	311.417064
311.520411	6.09768599999999	vis_abst_8	1	312.734064
317.634958	5.00275900000002	tact_abst_6	1	320.268064
322.637815	4.06365500000003	vis_Nabst_2	2	323.755064
326.701563	5.08326699999999	vis_abst_4	2	328.121064
336.818279	4.06658399999997	vis_Nabst_6	1	338.184064
340.901687	6.00313099999999	tact_abst_4	2	344.595064
346.904912	5.08001400000003	vis_abst_2	2	348.058064
351.985025	4.066587	vis_Nabst_4	2	353.795064
356.068481	6.00283600000001	tact_abst_8	1	358.286064
362.071415	4.06357399999996	vis_abst_6	1	363.470064
366.135088	6.09994100000005	vis_Nabst_2	2	367.261064
372.235129	5.08325	vis_abst_8	1	373.533064
377.335256	4.00236000000004	tact_abst_6	1	380.737064
381.337717	5.08071600000001	vis_Nabst_8	1	382.763064
386.418531	6.09991800000001	vis_abst_4	2	387.588064
392.535317	5.003	tact_abst_2	2	395.012064
