onset	duration	condition	resp	respTime
8	4.066614	vis_abst_4	2	9.127692
12.066726	5.083247	vis_Nabst_2	2	13.014692
17.166843	5.002803	tact_abst_4	1	19.604692
22.169745	4.06360099999999	vis_Nabst_6	1	23.027692
26.233443	6.099936	vis_abst_8	1	27.063692
32.350183	6.003262	tact_abst_6	1	34.537692
38.353547	4.06321500000001	vis_Nabst_8	1	39.023692
42.433496	5.00275	tact_abst_2	2	45.653692
47.43634	6.097143	vis_abst_6	1	48.273692
53.55022	6.00292499999999	tact_abst_8	1	57.403692
59.553243	4.063621	vis_abst_2	2	60.217692
63.616963	5.08326100000001	vis_Nabst_4	1	64.358692
73.750443	4.002103	tact_abst_6	2	77.395692
77.752638	6.097652	vis_Nabst_2	2	78.817692
83.850395	5.08325300000001	vis_abst_4	2	84.694692
88.950507	6.003538	tact_abst_8	2	90.926692
94.954252	5.07944700000001	vis_abst_6	1	95.850692
100.033798	6.099935	vis_Nabst_8	1	100.760692
106.150538	4.00230600000001	tact_abst_4	1	109.446692
110.152942	6.09749799999999	vis_abst_8	1	111.018692
116.250537	4.066598	vis_Nabst_4	2	118.172692
120.317231	5.08326200000002	vis_abst_2	2	121.041692
125.400592	4.066587	vis_Nabst_6	1	126.709692
129.484044	5.00300099999999	tact_abst_2	2	131.454692
139.534126	4.00212	tact_abst_2	2	141.657692
143.536341	6.09759700000001	vis_abst_4	2	145.538692
149.650719	6.00312599999999	tact_abst_8	1	151.800692
155.653945	5.08005000000002	vis_Nabst_4	2	156.570692
160.734095	4.066576	vis_abst_6	1	161.599692
164.800768	5.08326800000001	vis_Nabst_8	1	165.655692
169.900813	5.00223199999999	tact_abst_6	1	172.161692
174.90314	6.09762099999998	vis_abst_8	1	175.634692
181.000861	4.06658000000002	vis_Nabst_2	2	182.020692
185.067535	4.06659700000001	vis_Nabst_6	1	185.867692
189.151001	5.00304399999999	tact_abst_4	2	190.721692
194.154141	6.09670500000002	vis_abst_2	2	194.942692
205.284293	6.09994200000001	vis_abst_8	1	206.128692
211.400975	5.00247	tact_abst_2	1	214.550692
216.403544	4.06406899999996	vis_Nabst_4	2	217.289692
220.467713	5.083255	vis_abst_6	1	221.206692
225.567752	6.00289299999998	tact_abst_8	1	227.452692
231.570742	5.08028200000001	vis_abst_2	2	232.267692
236.651123	4.06659000000003	vis_Nabst_8	1	237.321692
240.734582	4.00216200000001	tact_abst_6	1	242.729692
244.736836	6.09758000000002	vis_abst_4	2	245.553692
250.834543	5.08323599999998	vis_Nabst_2	2	251.710692
255.93456	4.00218400000001	tact_abst_4	2	258.870692
259.936841	6.09765300000005	vis_Nabst_6	1	261.783692
271.067949	5.08325900000002	vis_Nabst_2	2	271.812692
276.151308	6.099935	vis_abst_6	1	276.871692
282.268036	5.00240900000004	tact_abst_2	2	283.866692
287.270541	4.06407500000001	vis_Nabst_8	1	289.354692
291.33471	4.06659299999999	vis_abst_4	2	292.143692
295.401394	5.08326500000001	vis_abst_2	2	296.164692
300.501531	5.00271400000004	tact_abst_4	1	302.865692
305.504342	4.06369099999999	vis_Nabst_6	1	306.961692
309.584781	6.00306300000002	tact_abst_8	1	312.978692
315.587944	4.06347600000002	vis_Nabst_4	2	316.825692
319.651515	6.099929	vis_abst_8	1	320.542692
325.76822	6.00352500000002	tact_abst_6	1	329.313692
336.80161	5.08324199999997	vis_Nabst_6	1	337.665692
341.901598	5.00224599999998	tact_abst_2	2	344.939692
346.90394	6.09764799999999	vis_abst_4	2	347.988692
353.001696	4.06656699999998	vis_abst_2	2	353.740692
357.06836	5.083266	vis_Nabst_8	1	357.842692
362.168367	4.00207900000003	tact_abst_6	1	365.041692
366.170541	6.09779000000004	vis_Nabst_4	2	367.571692
372.285172	4.00197400000005	tact_abst_8	1	374.945692
376.287239	6.09780799999996	vis_abst_6	1	377.120692
382.401909	5.00293599999999	tact_abst_4	2	383.960692
387.404943	4.06348700000002	vis_Nabst_2	2	388.221692
391.468527	6.09993599999999	vis_abst_8	1	392.352692
