onset	duration	condition	resp	respTime
8	5.083289	vis_abst_2	2	8.803434
13.100141	6.003447	tact_abst_8	1	16.771434
19.103694	4.062975	vis_Nabst_6	1	19.889434
23.18353	6.003158	tact_abst_4	1	26.076434
29.186819	4.063231	vis_abst_8	1	30.177434
33.250151	5.08325700000001	vis_Nabst_4	2	34.128434
38.350274	4.00211200000001	tact_abst_6	2	40.759434
42.352486	4.064291	vis_Nabst_2	2	43.588434
46.416872	5.08326800000001	vis_abst_4	2	47.395434
51.50024	6.09993400000001	vis_Nabst_8	1	52.344434
57.617003	5.00298299999999	tact_abst_2	1	60.422434
62.620081	6.09681300000001	vis_abst_6	1	63.400434
73.767113	4.002476	tact_abst_4	2	75.589434
77.769697	6.097265	vis_Nabst_8	1	78.378434
83.867059	5.083268	vis_abst_6	1	85.528434
88.967184	4.002004	tact_abst_2	2	90.936434
92.969415	6.09761900000001	vis_abst_4	2	94.813434
99.067137	5.083262	vis_Nabst_6	1	99.977434
104.150499	5.08325699999998	vis_abst_2	2	104.841434
109.250624	4.00256399999998	tact_abst_8	2	111.712434
113.253284	6.097182	vis_Nabst_4	2	114.186434
119.350568	5.08326200000002	vis_abst_8	1	120.413434
124.43393	6.09991799999998	vis_Nabst_2	2	125.183434
130.550632	4.002356	tact_abst_6	1	133.435434
139.584001	4.06658299999998	vis_abst_2	2	140.255434
143.650683	6.09992799999999	vis_Nabst_8	1	144.371434
149.750712	5.08325400000002	vis_abst_4	2	150.723434
154.850729	6.00275699999998	tact_abst_6	1	157.054434
160.853583	4.06377299999999	vis_abst_8	1	161.604434
164.917452	5.08325399999999	vis_Nabst_2	2	166.399434
170.017567	6.00282000000001	tact_abst_4	1	171.368434
176.020488	4.06360999999999	vis_Nabst_6	1	176.831434
180.100869	5.00271799999999	tact_abst_8	1	182.310434
185.103687	6.09712700000001	vis_Nabst_4	2	186.296434
191.217595	5.002894	tact_abst_2	2	193.136434
196.220585	4.06360799999998	vis_abst_6	1	197.123434
205.317639	4.06659600000002	vis_Nabst_8	1	206.113434
209.384334	5.08325700000001	vis_abst_2	2	210.215434
214.484448	6.00343900000001	tact_abst_6	1	216.745434
220.487989	4.06299000000002	vis_Nabst_2	2	221.356434
224.567769	5.00261800000002	tact_abst_4	2	227.303434
229.570485	6.09720600000001	vis_abst_6	1	230.336434
235.68456	5.002527	tact_abst_8	1	238.638434
240.687184	6.09722600000002	vis_Nabst_4	2	241.612434
246.801283	4.00180300000001	tact_abst_2	1	249.266434
250.803205	5.08125900000002	vis_abst_8	1	251.595434
255.884566	4.066582	vis_Nabst_6	1	258.805434
259.951244	6.09993400000001	vis_abst_4	2	260.601434
271.084627	6.09993299999996	vis_Nabst_6	1	273.174434
277.20135	5.00263799999998	tact_abst_8	1	279.515434
282.204087	4.06385800000001	vis_Nabst_4	2	283.033434
286.268042	6.09992999999999	vis_abst_8	1	287.014434
292.384704	4.00158399999997	tact_abst_2	2	294.304434
296.386386	5.08162599999999	vis_Nabst_8	1	297.078434
301.468107	4.06659599999996	vis_abst_6	1	302.212434
305.551563	6.00332399999996	tact_abst_4	2	306.981434
311.554983	4.06309999999998	vis_abst_2	2	312.190434
315.634859	5.002527	tact_abst_6	1	317.250434
320.637483	6.09731099999999	vis_abst_4	2	321.430434
326.734891	5.083266	vis_Nabst_2	2	327.572434
336.868391	5.002397	tact_abst_2	2	338.838434
341.870889	4.06400099999999	vis_Nabst_8	1	342.824434
345.934985	6.09994300000003	vis_abst_6	1	346.870434
352.035027	5.08325599999999	vis_Nabst_4	2	353.611434
357.135034	6.00295400000003	tact_abst_8	1	360.676434
363.138083	5.08025400000002	vis_abst_2	2	363.774434
368.218434	4.06659399999998	vis_Nabst_6	1	369.073434
372.285123	6.09993099999998	vis_abst_4	2	373.114434
378.401919	5.00256800000003	tact_abst_6	1	380.538434
383.404592	4.06383799999999	vis_Nabst_2	2	384.105434
387.468532	6.09992800000001	vis_abst_8	1	388.346434
393.585234	4.002152	tact_abst_4	2	396.823434
