onset	duration	condition	resp	respTime
8	5.083292	vis_abst_8	1	8.811728
13.100069	6.003212	tact_abst_2	2	15.272728
19.103449	4.063234	vis_Nabst_8	1	20.007728
23.166787	5.083255	vis_abst_4	2	23.944728
28.250145	4.066582	vis_Nabst_2	2	29.277728
32.33361	5.00277	tact_abst_6	1	34.276728
37.33648	4.06362700000001	vis_Nabst_4	2	38.877728
41.400201	6.099948	vis_abst_2	2	42.683728
47.516927	4.002353	tact_abst_8	1	49.369728
51.519377	6.097493	vis_abst_6	1	53.256728
57.633736	5.002946	tact_abst_4	2	59.881728
62.636781	6.09683199999999	vis_Nabst_6	1	64.586728
73.767037	6.09993500000001	vis_abst_2	2	74.630728
79.867076	4.066601	vis_Nabst_6	1	80.767728
83.95055	5.00313099999999	tact_abst_4	2	86.260728
88.953782	6.09661099999999	vis_Nabst_8	1	90.046728
95.06727	4.002111	tact_abst_2	2	96.478728
99.069478	5.08096900000001	vis_abst_8	1	100.449728
104.150547	4.06658500000002	vis_Nabst_4	2	105.483728
108.233996	6.00328399999998	tact_abst_8	1	109.684728
114.237379	5.07955499999999	vis_abst_6	1	115.467728
119.317032	4.06661600000001	vis_Nabst_2	2	120.416728
123.400764	5.002818	tact_abst_6	1	126.024728
128.403687	6.096927	vis_abst_4	2	131.128728
139.53407	6.09993899999998	vis_Nabst_2	2	140.373728
145.650803	5.00277799999999	tact_abst_6	1	147.568728
150.65368	4.06371000000002	vis_abst_2	2	151.724728
154.734262	6.00321899999998	tact_abst_8	1	157.057728
160.737582	5.079864	vis_Nabst_4	2	161.802728
165.817545	6.09992999999999	vis_abst_8	1	166.572728
171.934457	4.002024	tact_abst_4	2	174.031728
175.936578	6.097622	vis_Nabst_6	1	177.099728
182.034296	5.08326199999999	vis_abst_4	2	183.061728
187.117657	4.06625399999999	vis_Nabst_8	1	187.881728
191.184005	5.08360399999999	vis_abst_6	1	191.982728
196.284484	4.00199799999999	tact_abst_2	2	199.017728
205.317771	5.08291199999998	vis_abst_4	2	206.381728
210.417805	4.00197700000001	tact_abst_6	1	213.960728
214.419891	6.09784400000001	vis_Nabst_2	2	215.122728
220.517833	4.06630599999998	vis_abst_8	1	221.424728
224.584244	6.099929	vis_Nabst_4	2	225.560728
230.701346	5.002535	tact_abst_2	2	231.916728
235.70398	6.09693200000003	vis_Nabst_6	1	236.656728
241.817975	4.00210600000003	tact_abst_4	2	244.873728
245.820177	5.08106	vis_abst_6	1	246.764728
250.918093	6.003489	tact_abst_8	1	252.482728
256.921688	5.07930699999997	vis_abst_2	2	257.636728
262.001096	4.06688399999996	vis_Nabst_8	1	263.089728
271.118218	5.00286300000001	tact_abst_8	1	272.369728
276.121179	4.06355099999998	vis_Nabst_4	2	277.194728
280.184825	6.09992999999999	vis_abst_6	1	281.140728
286.284856	4.06635999999999	vis_Nabst_2	2	286.948728
290.368195	5.002685	tact_abst_6	1	292.326728
295.370976	6.09688399999996	vis_abst_4	2	296.752728
301.484965	4.00241699999996	tact_abst_2	2	303.827728
305.487482	5.08045999999996	vis_Nabst_8	1	307.394728
310.568037	6.10021899999998	vis_abst_2	2	311.310728
316.668363	4.06658799999999	vis_Nabst_6	1	317.313728
320.751786	5.00229599999997	tact_abst_4	2	323.060728
325.754181	6.09749000000005	vis_abst_8	1	326.613728
336.885119	4.06660700000002	vis_Nabst_4	2	337.659728
340.968549	5.00253100000002	tact_abst_6	1	342.349728
345.971179	6.09727000000002	vis_abst_8	1	346.769728
352.085324	4.00195699999999	tact_abst_2	1	354.508728
356.087378	5.08112199999997	vis_Nabst_6	2	357.785728
361.168595	4.066359	vis_abst_2	2	362.096728
365.251934	6.00314799999999	tact_abst_8	1	367.654728
371.25518	4.06339799999999	vis_abst_4	2	372.439728
375.318686	5.083245	vis_Nabst_8	1	376.700728
380.418708	6.00327400000003	tact_abst_4	2	382.537728
386.422083	5.079902	vis_abst_6	1	387.072728
391.502082	6.09994900000002	vis_Nabst_2	2	392.206728
