onset	duration	condition	resp	respTime
8	5.083287	vis_abst_2	2	8.852412
13.100153	6.003213	tact_abst_8	1	16.276412
19.10347	4.063197	vis_Nabst_6	1	19.793412
23.183454	6.00370999999999	tact_abst_4	2	27.746412
29.187261	4.06277099999999	vis_abst_8	1	29.727412
33.250131	5.083264	vis_Nabst_4	2	33.962412
38.350139	4.002026	tact_abst_6	0	0
42.352256	4.064503	vis_Nabst_2	2	42.454412
46.416854	5.08325600000001	vis_abst_4	2	47.194412
51.50022	6.099916	vis_Nabst_8	1	52.093412
57.616926	5.00263900000001	tact_abst_2	2	60.460412
62.619677	6.097178	vis_abst_6	1	63.294412
73.767077	4.001887	tact_abst_4	1	77.743412
77.769064	6.097845	vis_Nabst_8	1	78.806412
83.867007	5.08324799999999	vis_abst_6	1	84.638412
88.967035	4.00182899999998	tact_abst_2	2	90.092412
92.969081	6.09789199999999	vis_abst_4	2	93.938412
99.067073	5.08301200000002	vis_Nabst_6	1	100.105412
104.150181	5.083497	vis_abst_2	2	104.810412
109.250646	4.00211900000001	tact_abst_8	1	112.478412
113.252865	6.09728199999998	vis_Nabst_4	2	113.945412
119.350245	5.0835	vis_abst_8	1	120.097412
124.433852	6.099913	vis_Nabst_2	2	125.161412
130.550569	4.00239499999999	tact_abst_6	0	0
139.583902	4.066337	vis_abst_2	2	140.358412
143.650339	6.10017500000002	vis_Nabst_8	1	144.315412
149.750613	5.08324299999999	vis_abst_4	2	150.756412
154.850633	6.003033	tact_abst_6	1	157.327412
160.853763	4.06347400000002	vis_abst_8	1	161.703412
164.917334	5.08302900000001	vis_Nabst_2	2	166.557412
170.017388	6.00307700000002	tact_abst_4	2	172.110412
176.020567	4.063082	vis_Nabst_6	1	176.680412
180.100747	5.00291800000001	tact_abst_8	1	182.563412
185.103765	6.09663699999999	vis_Nabst_4	2	186.414412
191.217547	5.00261899999998	tact_abst_2	2	192.127412
196.220263	4.06378200000001	vis_abst_6	1	197.401412
205.317492	4.06658500000002	vis_Nabst_8	1	206.157412
209.384172	5.08295799999998	vis_abst_2	2	210.263412
214.484218	6.00284599999999	tact_abst_6	1	217.472412
220.487163	4.06341700000002	vis_Nabst_2	2	221.155412
224.567578	5.00218699999998	tact_abst_4	1	227.616412
229.569862	6.09765899999999	vis_abst_6	1	230.614412
235.684423	5.00284299999999	tact_abst_8	2	239.001412
240.687367	6.096864	vis_Nabst_4	2	241.800412
246.801216	4.00214899999998	tact_abst_2	2	248.047412
250.803489	5.08047000000003	vis_abst_8	1	251.439412
255.884058	4.06666200000001	vis_Nabst_6	1	256.863412
259.950819	6.09991999999998	vis_abst_4	2	260.794412
271.084418	6.09993400000001	vis_Nabst_6	1	271.945412
277.201163	5.00240100000001	tact_abst_8	1	279.339412
282.203661	4.06405699999997	vis_Nabst_4	2	282.971412
286.267812	6.09969899999996	vis_abst_8	1	287.018412
292.384538	4.00182800000004	tact_abst_2	2	293.758412
296.386464	5.081027	vis_Nabst_8	1	297.131412
301.467589	4.06664799999999	vis_abst_6	1	302.784412
305.551371	6.00289400000003	tact_abst_4	1	309.529412
311.55436	4.06348600000003	vis_abst_2	2	312.278412
315.63471	5.00245500000002	tact_abst_6	1	318.824412
320.637262	6.09701800000004	vis_abst_4	2	321.419412
326.734388	5.08351799999998	vis_Nabst_2	2	327.471412
336.868137	5.00282800000004	tact_abst_2	2	338.332412
341.871064	4.06332400000002	vis_Nabst_8	1	342.608412
345.934482	6.10017300000001	vis_abst_6	1	346.984412
352.034754	5.08325299999997	vis_Nabst_4	2	353.081412
357.134902	6.00306300000002	tact_abst_8	1	360.170412
363.138069	5.07998200000002	vis_abst_2	2	363.867412
368.21815	4.06658499999996	vis_Nabst_6	1	368.892412
372.28483	6.09993599999999	vis_abst_4	2	373.087412
378.40162	5.00244400000002	tact_abst_6	1	380.452412
383.404164	4.063967	vis_Nabst_2	2	384.109412
387.468262	6.09989900000003	vis_abst_8	1	388.275412
393.584933	4.00203100000002	tact_abst_4	2	395.434412
