onset	duration	condition	resp	respTime
8	6.099967	vis_Nabst_8	1	8.713452
14.100065	4.066582	vis_abst_6	1	14.780452
18.183543	6.003563	tact_abst_4	2	19.924452
24.187204	5.079483	vis_Nabst_2	2	24.803452
29.283628	4.002377	tact_abst_8	1	30.865452
33.286098	5.080635	vis_abst_2	2	34.044452
38.366831	4.066586	vis_Nabst_4	2	39.302452
42.450332	5.002473	tact_abst_6	1	43.907452
47.452905	6.09722300000001	vis_abst_8	1	48.158452
53.566972	6.003234	tact_abst_2	2	55.502452
59.570302	5.07986799999999	vis_abst_4	2	60.357452
64.650272	4.066582	vis_Nabst_6	1	65.391452
73.750287	4.066359	vis_abst_2	2	74.566452
77.816745	6.099889	vis_Nabst_4	2	78.867452
83.933686	5.00262000000001	tact_abst_6	1	85.737452
88.936405	5.080542	vis_abst_8	1	89.514452
94.033697	4.00180900000001	tact_abst_2	2	97.791452
98.035608	5.081376	vis_Nabst_8	1	98.894452
103.133854	6.00355100000001	tact_abst_4	1	105.929452
109.137507	4.06285200000001	vis_Nabst_2	2	109.900452
113.200454	6.09969399999999	vis_abst_6	1	113.981452
119.31716	5.002745	tact_abst_8	1	120.817452
124.320004	4.06375599999999	vis_Nabst_6	1	125.083452
128.383861	6.09992099999997	vis_abst_4	2	129.184452
139.517238	5.08325200000001	vis_abst_2	2	140.270452
144.617408	4.00239600000001	tact_abst_6	1	146.586452
148.619904	5.08061900000001	vis_Nabst_4	2	149.435452
153.700628	6.09991999999998	vis_abst_6	1	154.749452
159.817459	5.00304699999999	tact_abst_2	2	161.589452
164.820604	6.096655	vis_abst_8	1	165.491452
170.917425	4.066519	vis_Nabst_8	1	171.528452
175.00068	6.00322500000001	tact_abst_4	2	178.947452
181.004003	4.06331699999998	vis_Nabst_6	1	181.581452
185.084172	5.002734	tact_abst_8	1	187.508452
190.087003	6.09678099999999	vis_Nabst_2	2	190.951452
196.183888	4.06681900000002	vis_abst_4	2	196.963452
205.28415	6.09994899999999	vis_abst_2	2	206.028452
211.400849	5.003057	tact_abst_8	1	214.784452
216.404013	4.063451	vis_Nabst_2	2	217.089452
220.484373	6.002932	tact_abst_6	1	223.670452
226.487403	5.08009899999999	vis_abst_4	2	227.183452
231.567602	6.09992799999999	vis_Nabst_6	1	232.192452
237.667634	5.08324500000005	vis_abst_8	1	238.319452
242.767763	6.00294200000004	tact_abst_2	0	0
248.770805	4.06322200000001	vis_Nabst_4	2	249.540452
252.834141	4.06680199999997	vis_abst_6	1	253.800452
256.901039	5.08296999999997	vis_Nabst_8	1	257.642452
262.001457	4.00234899999999	tact_abst_4	1	265.670452
271.034441	4.06657400000002	vis_abst_2	2	271.707452
275.101113	5.08325099999999	vis_Nabst_8	1	275.798452
280.201247	6.00345800000004	tact_abst_2	2	283.467452
286.204804	6.09627399999998	vis_Nabst_4	2	286.999452
292.301176	5.08326400000002	vis_abst_6	1	293.051452
297.401178	4.00212899999996	tact_abst_8	1	299.562452
301.403411	6.09773200000002	vis_Nabst_6	1	302.486452
307.517926	4.00208000000002	tact_abst_4	2	310.613452
311.520106	6.097745	vis_abst_8	1	312.135452
317.634772	5.00293400000001	tact_abst_6	1	320.527452
322.637801	4.06314300000004	vis_Nabst_2	2	323.396452
326.701039	5.08354399999999	vis_abst_4	2	327.522452
336.818022	4.06659399999998	vis_Nabst_6	1	337.640452
340.90139	6.00331399999996	tact_abst_4	2	344.256452
346.904797	5.07985600000003	vis_abst_2	2	347.624452
351.984752	4.066582	vis_Nabst_4	2	353.007452
356.068126	6.00328000000003	tact_abst_8	1	359.184452
362.071503	4.06320699999999	vis_abst_6	1	362.781452
366.134806	6.09993300000002	vis_Nabst_2	2	366.922452
372.234839	5.08325400000002	vis_abst_8	1	372.849452
377.335199	4.00240600000002	tact_abst_6	0	0
381.337696	5.08043300000002	vis_Nabst_8	2	381.396452
386.418224	6.09993200000003	vis_abst_4	2	387.313452
392.535023	5.00268300000002	tact_abst_2	1	396.438452
